PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.MS1Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.MS1Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.MS1Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.MS1Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.MS1Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.MS1Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS1Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS1Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS1Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS1Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS1Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS1Quantity	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
A8CG34;A8CG34-2;Q96HA1;Q96HA1-2;Q96HA1-3	POM121C;POM121C;POM121;POM121;POM121	Homo sapiens	Nuclear envelope pore membrane protein POM 121C;Isoform 2 of Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121;Isoform 2 of Nuclear envelope pore membrane protein POM 121;Isoform 3 of Nuclear envelope pore membrane protein POM 121	P121C_HUMAN;P121C_HUMAN;P121A_HUMAN;P121A_HUMAN;P121A_HUMAN	2	2	2	True	NaN	1626,5963134765625	3417,903564453125	3867,1279296875	2454,060791015625	934,2924194335938	NaN	1145,4453125	NaN	3045,51953125	NaN	NaN	1782,062255859375	1983,5777587890625	1777,31494140625	2269,890625	2580,0400390625	2543,44287109375	NaN	1436,4296875	NaN	1390,5892333984375	1065,41357421875	1254,5224609375
A8MTW9		Homo sapiens	Putative uncharacterized protein ENSP00000380674	YB043_HUMAN	1	1	1	True	28881,96484375	42627,5390625	62299,59375	24063,806640625	26468,041015625	32022,3359375	32412,1640625	50260,45703125	57488,58984375	8135,52587890625	28476,734375	12324,3857421875	2173,04833984375	2654,166259765625	5282,38134765625	786,5311889648438	2086,750244140625	1963,7969970703125	1554,51904296875	4914,818359375	3484,739013671875	1086,8043212890625	2386,20361328125	864,1511840820312
A8MWD9;P62308	SNRPGP15;SNRPG	Homo sapiens	Putative small nuclear ribonucleoprotein G-like protein 15;Small nuclear ribonucleoprotein G	RUXGL_HUMAN;RUXG_HUMAN	1	1	1	False	33988,54296875	41609,98828125	36065,37109375	38531,09765625	36701,46875	43378,31640625	46993,08203125	24985,568359375	37499,52734375	48790,39453125	33634,26953125	32484,16796875	12422,224609375	10669,33984375	9683,0888671875	10074,2919921875	12045,052734375	10315,2080078125	12430,74609375	10810,578125	10125,2158203125	10842,2880859375	11449,314453125	11180,00390625
A8MXE2	B3GALT9	Homo sapiens	Beta-1,3-galactosyltransferase 9	B3GT9_HUMAN	1	1	1	True	107238,203125	474870,125	284851,09375	406264,8125	329188,875	250362,875	260449,078125	278997,03125	296407,15625	605432,4375	832766,5625	369465,65625	4384,08154296875	23726,447265625	20960,228515625	60923,7734375	49457,46875	32692,404296875	68084,65625	70451,75	132556,515625	40539,95703125	64923,90234375	66472,7265625
A8MXV4	NUDT19	Homo sapiens	Nucleoside diphosphate-linked moiety X motif 19	NUD19_HUMAN	1	1	1	False	1892,9222412109375	NaN	NaN	4047,56884765625	NaN	2496,61328125	4413,779296875	3819,303466796875	1,6034014225006104	4047,41015625	2758,472900390625	2351,686767578125	813,1331787109375	3649,94384765625	2412,076416015625	2837,972412109375	2940,4521484375	1825,847412109375	1087,516845703125	628,9019165039062	2327,890869140625	1986,240966796875	2996,71044921875	999,1375732421875
A9UHW6;A9UHW6-2;A9UHW6-3	MIF4GD	Homo sapiens	MIF4G domain-containing protein;Isoform 2 of MIF4G domain-containing protein;Isoform 3 of MIF4G domain-containing protein	MI4GD_HUMAN	1	1	1	False	3833,907958984375	2994,927978515625	NaN	NaN	2326,84912109375	NaN	8813,5712890625	3637,30078125	NaN	NaN	15626,4794921875	949,7069091796875	1140,9517822265625	455,65069580078125	641,3359985351562	NaN	592,5433349609375	NaN	1416,01123046875	889,4288330078125	NaN	1630,1455078125	1033,479736328125	1499,3968505859375
B1AKI9	ISM1	Homo sapiens	Isthmin-1	ISM1_HUMAN	1	1	1	True	4894,58056640625	2015,7630615234375	2326,38916015625	NaN	1533,72509765625	1562,27978515625	NaN	NaN	7930,05078125	NaN	NaN	NaN	3212,10693359375	2242,995849609375	3191,07275390625	1154,7325439453125	2348,9609375	1289,1329345703125	2653,1474609375	1851,359375	969,6561889648438	1365,4853515625	2059,18310546875	NaN
B5ME19;Q99613;Q99613-2	EIF3CL;EIF3C;EIF3C	Homo sapiens	Eukaryotic translation initiation factor 3 subunit C-like protein;Eukaryotic translation initiation factor 3 subunit C;Isoform 2 of Eukaryotic translation initiation factor 3 subunit C	EIFCL_HUMAN;EIF3C_HUMAN;EIF3C_HUMAN	6	6	6	False	1430,5545654296875	3236,8955078125	NaN	5299,7099609375	405,0274353027344	154,6833953857422	NaN	NaN	NaN	NaN	478,2458190917969	850,443359375	972,84814453125	4230,12646484375	984,6012573242188	8038,162109375	1139,22509765625	1443,996337890625	652,4463500976562	515,712646484375	NaN	2535,80908203125	1118,3494873046875	670,7494506835938
B7ZAP0;Q5R372-5;Q5R372-6;Q5R372-7;Q5R372-8;Q9Y3P9	RABGAP1L;RABGAP1L;RABGAP1L;RABGAP1L;RABGAP1L;RABGAP1	Homo sapiens	Rab GTPase-activating protein 1-like, isoform 10;Isoform 5 of Rab GTPase-activating protein 1-like;Isoform 6 of Rab GTPase-activating protein 1-like;Isoform 7 of Rab GTPase-activating protein 1-like;Isoform 8 of Rab GTPase-activating protein 1-like;Rab GTPase-activating protein 1	RBG10_HUMAN;RBG1L_HUMAN;RBG1L_HUMAN;RBG1L_HUMAN;RBG1L_HUMAN;RBGP1_HUMAN	1	1	1	True	3078,564453125	NaN	3728,95703125	10472,716796875	NaN	NaN	16514,560546875	10364,359375	NaN	NaN	10935,5419921875	7493,86767578125	852,504638671875	NaN	1213,77490234375	1513,1427001953125	NaN	NaN	2483,78759765625	540,8985595703125	NaN	1719,1651611328125	1467,3316650390625	1484,4202880859375
B9A064;P0DOX8	IGLL5;	Homo sapiens	Immunoglobulin lambda-like polypeptide 5;Immunoglobulin lambda-1 light chain	IGLL5_HUMAN;IGL1_HUMAN	1	1	1	False	58037,6796875	96117,7578125	77673,46875	201528,46875	70242,0078125	77636,5390625	75741,34375	124488,1640625	38361,37109375	100441,2109375	163695,671875	42929,453125	20867,53125	34154,41015625	24653,7265625	42208,46875	37167,5625	31981,92578125	19630,080078125	35021,7265625	5762,9521484375	28526,79296875	37750,97265625	15965,6728515625
C4AMC7;Q6VEQ5	WASH3P;WASH2P	Homo sapiens	Putative WAS protein family homolog 3;WAS protein family homolog 2	WASH3_HUMAN;WASH2_HUMAN	3	3	3	False	46485,640625	35341,328125	43722,29296875	63507,33984375	59490,0625	65181,52734375	22321,99609375	35314,6328125	66404,6171875	32848,02734375	32846,84765625	29679,400390625	23151,212890625	16648,99609375	20692,96484375	19778,59375	21610,16796875	23071,66796875	14688,017578125	17340,98828125	20695,00390625	15857,982421875	14145,65234375	17736,94140625
C9JLW8	MCRIP1	Homo sapiens	Mapk-regulated corepressor-interacting protein 1	MCRI1_HUMAN	2	2	2	False	27833,66015625	20062,572265625	20449,697265625	16391,4765625	35318,7421875	24443,6640625	18612,10546875	12258,986328125	19213,81640625	15915,99609375	21681,048828125	30991,267578125	11998,84765625	7157,77685546875	10687,1083984375	7574,89892578125	8117,15478515625	9089,5556640625	12058,7900390625	8946,0869140625	26941,287109375	8776,458984375	9335,75	13007,7587890625
C9JRZ8;C9JRZ8-2;O60218	AKR1B15;AKR1B15;AKR1B10	Homo sapiens	Aldo-keto reductase family 1 member B15;Isoform 2 of Aldo-keto reductase family 1 member B15;Aldo-keto reductase family 1 member B10	AK1BF_HUMAN;AK1BF_HUMAN;AK1BA_HUMAN	1	1	1	False	29279,443359375	26776,623046875	23492,794921875	24310,72265625	17623,416015625	25440,619140625	19257,775390625	42676,546875	25053,734375	43932,953125	9103,2060546875	14621,328125	2539,85302734375	1994,7279052734375	3129,433349609375	2993,631103515625	2878,26806640625	2449,041259765625	2017,3878173828125	2648,96337890625	1843,4764404296875	2309,743896484375	1914,74609375	2122,911865234375
D6RIA3	C4orf54	Homo sapiens	Uncharacterized protein C4orf54	CD054_HUMAN	1	1	1	True	107228,7265625	97238,109375	NaN	NaN	89672,6875	213768,578125	115767,4765625	211822,4375	182623,78125	230044,4375	111756,0625	195182,453125	759,63818359375	1356,4710693359375	NaN	NaN	508,1183166503906	938,1751708984375	1424,7962646484375	3968,33935546875	4052,977783203125	476,6858825683594	1585,369873046875	1119,435546875
E9PAV3;E9PAV3-2;Q13765	NACA	Homo sapiens	Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Isoform skNAC-2 of Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha	NACAM_HUMAN;NACAM_HUMAN;NACA_HUMAN	3	3	5	True	150094,625	93267,03125	104337,78125	234725,234375	150283,90625	168174,140625	45337,94140625	67376,9140625	85692,84375	143310,265625	53475,09375	103836,359375	25011,2421875	16871,1875	18599,796875	39079,7421875	28923,0546875	32491,71875	9110,48046875	13888,1533203125	17099,349609375	25629,71484375	9186,5693359375	25093,2890625
L0R819	ASDURF	Homo sapiens	ASNSD1 upstream open reading frame protein	ASURF_HUMAN	2	2	2	False	83626,90625	44927,203125	146216,734375	51633,53515625	30581,12109375	83394,21875	47428,046875	47294,1328125	93901,3359375	45552,24609375	23100,109375	41257,43359375	4831,60009765625	4375,13720703125	2289,179443359375	3182,457763671875	3058,220947265625	4268,83740234375	4292,03955078125	4064,70166015625	6234,19970703125	2955,610595703125	2368,41650390625	4446,13427734375
O00115;O00115-2	DNASE2	Homo sapiens	Deoxyribonuclease-2-alpha;Isoform 2 of Deoxyribonuclease-2-alpha	DNS2A_HUMAN	7	7	7	False	588548,625	670145,125	1013542	652116,875	545726,4375	1088970,125	546513,25	770766,625	1040275,625	598411,9375	559313,625	673330	110679,953125	114223,78125	168000,078125	126535,1875	94605,4765625	203572,703125	106177,921875	156676,6875	256662,8125	111060,234375	95840,2578125	139144
O00151	PDLIM1	Homo sapiens	PDZ and LIM domain protein 1	PDLI1_HUMAN	17	18	18	True	463343,96875	348381,96875	340248,15625	352271,5625	424989,28125	323713,6875	833493,9375	661395,8125	798140,5625	723895,8125	807328,5	669373,0625	108295,90625	79419,2734375	81787,828125	80076,7265625	88196,1953125	82068,8828125	205569,734375	155935,734375	223525,484375	168728,859375	204159,484375	173706,296875
O00154;O00154-4;O00154-5;O00154-6;O00154-7	ACOT7	Homo sapiens	Cytosolic acyl coenzyme A thioester hydrolase;Isoform 4 of Cytosolic acyl coenzyme A thioester hydrolase;Isoform 5 of Cytosolic acyl coenzyme A thioester hydrolase;Isoform 6 of Cytosolic acyl coenzyme A thioester hydrolase;Isoform 7 of Cytosolic acyl coenzyme A thioester hydrolase	BACH_HUMAN	8	8	8	True	25359,59375	27201,890625	11565,4482421875	15307,75390625	14449,869140625	12873,3828125	40984,88671875	35037,62890625	14791,37109375	44060,359375	56184,19921875	38930,82421875	10972,689453125	14093,662109375	7061,36181640625	9881,634765625	9000,087890625	8715,9638671875	25345,43359375	21255,841796875	11778,021484375	23663,189453125	36890,2734375	27942,263671875
O00159;O00159-2;O00159-3	MYO1C	Homo sapiens	Unconventional myosin-Ic;Isoform 2 of Unconventional myosin-Ic;Isoform 3 of Unconventional myosin-Ic	MYO1C_HUMAN	9	9	9	True	45982,87109375	14792,53125	16933,22265625	5886,8095703125	8201,9111328125	21065,943359375	26278,5859375	22063,96484375	77188,1484375	8608,958984375	5303,37158203125	9404,22265625	7840,68212890625	2757,640380859375	3628,31884765625	2274,78564453125	2248,584228515625	5056,11181640625	7051,53759765625	4142,193359375	11557,4853515625	2281,891357421875	3055,94384765625	2213,505615234375
O00161;O00161-2	SNAP23	Homo sapiens	Synaptosomal-associated protein 23;Isoform SNAP-23b of Synaptosomal-associated protein 23	SNP23_HUMAN	2	2	2	False	NaN	NaN	NaN	1	NaN	NaN	6,885322093963623	NaN	0,000645570398773998	4,428812026977539	NaN	NaN	4105,72705078125	2409,666015625	4541,15087890625	2050,47998046875	2423,790283203125	1991,216064453125	3824,8154296875	3006,3564453125	4508,31689453125	2271,9931640625	1657,109130859375	3480,089111328125
O00170	AIP	Homo sapiens	AH receptor-interacting protein	AIP_HUMAN	11	11	13	False	84318,0546875	61548,96484375	46281,17578125	68307,796875	67560,8203125	61960,21875	58916,01953125	65149,421875	37147,1328125	86611,8984375	67362,1328125	50151,078125	20590,5078125	16913,623046875	16280,669921875	18305,845703125	19180,3125	15929,9091796875	21665,126953125	16747,552734375	15346,810546875	18929,625	17971,41796875	17576,78125
O00186	STXBP3	Homo sapiens	Syntaxin-binding protein 3	STXB3_HUMAN	2	2	2	False	NaN	NaN	2858,46044921875	5701,97900390625	NaN	2789,07666015625	2383,141357421875	NaN	NaN	7509,68603515625	NaN	2068,134521484375	NaN	1030,855712890625	519,03076171875	1541,0855712890625	1102,0318603515625	1701,5491943359375	1076,306396484375	613,8372192382812	NaN	2395,111572265625	740,205322265625	1856,6385498046875
O00187-2	MASP2	Homo sapiens	Isoform 2 of Mannan-binding lectin serine protease 2	MASP2_HUMAN	1	1	1	False	0,4984032213687897	NaN	NaN	9,000227928161621	1,28860604763031	NaN	1,2721328735351562	6,339501857757568	0,0002446863509248942	0,35508835315704346	NaN	NaN	4631,693359375	6885,8193359375	6493,78564453125	6902,130859375	7445,56982421875	4237,66552734375	2731,23291015625	6588,662109375	4568,38134765625	4605,25146484375	6904,18603515625	2896,789794921875
O00193	SMAP	Homo sapiens	Small acidic protein	SMAP_HUMAN	3	3	3	True	105393,0078125	22611,99609375	41594,60546875	58615,1171875	48211,5	50754,11328125	NaN	50465,35546875	53689,3828125	30698,107421875	6152,654296875	35010,8515625	9474,63671875	7075,587890625	7736,783203125	7546,13623046875	10162,86328125	8321,822265625	1883,6649169921875	3506,8466796875	5777,84326171875	3798,354248046875	2102,102783203125	6219,5380859375
O00203;O00203-3	AP3B1	Homo sapiens	AP-3 complex subunit beta-1;Isoform 2 of AP-3 complex subunit beta-1	AP3B1_HUMAN	1	1	1	True	5901,67578125	22569,794921875	7185,64501953125	21551,603515625	4195,67333984375	NaN	5146,05517578125	NaN	1,4525395631790161	17907,1328125	5678,33740234375	NaN	3980,10546875	6755,345703125	3488,976806640625	9687,7724609375	5120,14501953125	3807,351806640625	3473,466552734375	2958,082275390625	1704,9747314453125	6082,2080078125	4066,67431640625	3339,1923828125
O00214;O00214-2	LGALS8	Homo sapiens	Galectin-8;Isoform 2 of Galectin-8	LEG8_HUMAN	1	1	1	False	NaN	1,5498632192611694	NaN	0,8614447712898254	1	NaN	NaN	NaN	NaN	1,2146631479263306	NaN	NaN	NaN	1100,594482421875	554,5721435546875	1443,7427978515625	386,13775634765625	620,1864013671875	766,7466430664062	NaN	NaN	1662,2320556640625	NaN	709,32470703125
O00231;O00231-2	PSMD11	Homo sapiens	26S proteasome non-ATPase regulatory subunit 11;Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11	PSD11_HUMAN	9	9	10	False	24274,0390625	37689,828125	22240,412109375	21957,853515625	22419,8671875	17965,625	26674,4140625	15366,5654296875	21153,94140625	19171,166015625	28590,056640625	15753,83203125	3142,5439453125	4306,71533203125	2130,4169921875	3611,833984375	2827,142333984375	1488,4246826171875	3265,80078125	1835,008544921875	789,5445556640625	2805,5439453125	3566,640869140625	1583,853271484375
O00232;O00232-2	PSMD12	Homo sapiens	26S proteasome non-ATPase regulatory subunit 12;Isoform 2 of 26S proteasome non-ATPase regulatory subunit 12	PSD12_HUMAN	8	8	8	False	20127,3046875	19692,767578125	12854,3056640625	8728,6337890625	12582,4990234375	10116,7529296875	16241,419921875	8172,57958984375	11944,12890625	9940,619140625	12808,03515625	7510,43798828125	2231,759765625	4295,615234375	2746,728515625	2639,67822265625	2710,3828125	1369,1085205078125	3453,118408203125	1945,569091796875	1881,104736328125	2485,777587890625	4030,06640625	1277,416259765625
O00233	PSMD9	Homo sapiens	26S proteasome non-ATPase regulatory subunit 9	PSMD9_HUMAN	10	10	12	False	101306,5	96252,65625	103689,4609375	107049,5703125	98691,7265625	86206,1875	130712,3046875	78341,7109375	145005,03125	106927,4296875	106462,6875	113016,1875	46597,46484375	33221,62109375	39453,91796875	33273,7265625	35912,95703125	38326,84765625	48512,17578125	37539,46875	54583,5546875	34245,5	37228,546875	42106,08984375
O00244	ATOX1	Homo sapiens	Copper transport protein ATOX1	ATOX1_HUMAN	6	6	7	False	27754,31640625	30050,609375	26238,3203125	33039,859375	34822,25390625	26060,9296875	46927,01953125	28502,6875	14209,720703125	38705,71875	40338,75390625	18475,150390625	10849,9765625	9185,783203125	8457,7099609375	10337,796875	9038,431640625	6984,26025390625	13035,3603515625	8274,703125	4057,95703125	11543,873046875	11815,3173828125	7979,62841796875
O00264	PGRMC1	Homo sapiens	Membrane-associated progesterone receptor component 1	PGRC1_HUMAN	3	3	3	False	144586,578125	115916,53125	164165,78125	118021,734375	130017,7734375	158403,046875	124832,59375	176586,796875	283841,09375	97723,7421875	157311,8125	106790,15625	24974,607421875	20332,244140625	30375,529296875	21113,888671875	21815,541015625	27398,32421875	24715,962890625	28305,962890625	54252,37109375	19100,962890625	23677,07421875	22063,591796875
O00273	DFFA	Homo sapiens	DNA fragmentation factor subunit alpha	DFFA_HUMAN	6	6	6	False	22302,013671875	19956,89453125	18677,154296875	18606,81640625	21139,171875	18910,7265625	24015,654296875	11189,1767578125	20847,6484375	25129,265625	14626,388671875	20717,361328125	5513,57373046875	5775,9775390625	5989,625	6926,31494140625	7458,3291015625	6724,22412109375	6015,4130859375	5694,46875	4807,44384765625	6604,18896484375	6676,7392578125	6579,734375
O00291;O00291-4	HIP1	Homo sapiens	Huntingtin-interacting protein 1;Isoform 4 of Huntingtin-interacting protein 1	HIP1_HUMAN	14	14	14	False	22874,876953125	30099,4765625	19881,38671875	31086,708984375	14272,693359375	27783,576171875	26606,5546875	22017,052734375	18908,34375	27324,046875	14463,4833984375	19294,986328125	4088,645751953125	4847,12109375	3943,928955078125	7541,41455078125	4568,146484375	6372,982421875	5350,61328125	3742,66015625	4090,14501953125	5823,1650390625	5349,09814453125	6757,84521484375
O00299	CLIC1	Homo sapiens	Chloride intracellular channel protein 1	CLIC1_HUMAN	14	14	15	True	244645,046875	251204,15625	189556,796875	411060,375	241293,609375	345261,0625	271361,5	279444,375	179875,984375	422082,96875	296550,0625	358656,78125	67479,6953125	78534,03125	59092,32421875	129187,9921875	81216,2265625	102087,53125	88256,6015625	88256,34375	45817,44140625	127781,6171875	99839,375	119715,6171875
O00300	TNFRSF11B	Homo sapiens	Tumor necrosis factor receptor superfamily member 11B	TR11B_HUMAN	3	3	3	True	8703,337890625	10037,7021484375	NaN	14441,142578125	22270,943359375	26291,029296875	20070,7265625	20207,6953125	47004,3515625	37887,34375	34830,34375	27482,140625	1469,2958984375	1805,87255859375	2244,450439453125	2492,126708984375	1398,261962890625	3244,576416015625	2951,1376953125	679,2789306640625	5579,3857421875	2917,46435546875	1679,9073486328125	4933,47900390625
