PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ASC_WT_SN_WO_1.raw.PG.MS1Quantity	[2] ASC_WT_SN_WO_2.raw.PG.MS1Quantity	[3] ASC_WT_SN_WO_3.raw.PG.MS1Quantity	[4] ASC_WT_SN_Light_1.raw.PG.MS1Quantity	[5] ASC_WT_SN_Light_2.raw.PG.MS1Quantity	[6] ASC_WT_SN_Light_3.raw.PG.MS1Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.MS1Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.MS1Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.MS1Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.MS1Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.MS1Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.MS1Quantity	[1] ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
A6NGH7	CCDC160	Homo sapiens	Coiled-coil domain-containing protein 160	CC160_HUMAN	1	1	1	True	79529,6015625	62796,96875	63528,45703125	55212,62890625	86738,3359375	84698,890625	53680,87109375	42325,5078125	57807,328125	33073,671875	47704,19921875	72976,96875	5614,11962890625	2973,374755859375	5316,41015625	5063,9931640625	7821,78515625	7563,76171875	3911,176025390625	2384,5361328125	4881,34326171875	3457,768310546875	4059,948486328125	8474,5810546875
A6NKD2;P0CV98;P0CV99;P0CW01;Q01534;Q01534-2	TSPY2;TSPY3;TSPY4;TSPY10;TSPY1;TSPY1	Homo sapiens	Testis-specific Y-encoded protein 2;Testis-specific Y-encoded protein 3;Testis-specific Y-encoded protein 4;Testis-specific Y-encoded protein 10;Testis-specific Y-encoded protein 1;Isoform 2 of Testis-specific Y-encoded protein 1	TSPY2_HUMAN;TSPY3_HUMAN;TSPY4_HUMAN;TSPYA_HUMAN;TSPY1_HUMAN;TSPY1_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	1,0755735635757446	NaN	NaN	0,9424275755882263	1,0228794813156128	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN
B5ME19;Q99613	EIF3CL;EIF3C	Homo sapiens	Eukaryotic translation initiation factor 3 subunit C-like protein;Eukaryotic translation initiation factor 3 subunit C	EIFCL_HUMAN;EIF3C_HUMAN	5	5	5	True	4383,37255859375	4013,49755859375	3256,44677734375	1330,2315673828125	5086,345703125	3826,9091796875	5559,572265625	4791,19873046875	7890,7822265625	2987,254150390625	5403,73876953125	3566,20068359375	1228,3319091796875	1014,7380981445312	2245,2412109375	986,8289184570312	2857,9443359375	898,9395751953125	2129,07568359375	1287,5948486328125	3137,26123046875	410,3855895996094	689,1204223632812	738,7001953125
B7ZAP0;Q5R372-5;Q5R372-6;Q5R372-7;Q5R372-8;Q9Y3P9	RABGAP1L;RABGAP1L;RABGAP1L;RABGAP1L;RABGAP1L;RABGAP1	Homo sapiens	Rab GTPase-activating protein 1-like, isoform 10;Isoform 5 of Rab GTPase-activating protein 1-like;Isoform 6 of Rab GTPase-activating protein 1-like;Isoform 7 of Rab GTPase-activating protein 1-like;Isoform 8 of Rab GTPase-activating protein 1-like;Rab GTPase-activating protein 1	RBG10_HUMAN;RBG1L_HUMAN;RBG1L_HUMAN;RBG1L_HUMAN;RBG1L_HUMAN;RBGP1_HUMAN	1	1	1	False	NaN	NaN	236,42807006835938	26,177621841430664	NaN	NaN	NaN	NaN	NaN	NaN	191,6863250732422	785,1222534179688	565,0861206054688	502,4048156738281	NaN	183,52479553222656	NaN	NaN	NaN	NaN	NaN	488,9783935546875	567,5364990234375	NaN
B9A064;P0DOX8	IGLL5;	Homo sapiens	Immunoglobulin lambda-like polypeptide 5;Immunoglobulin lambda-1 light chain	IGLL5_HUMAN;IGL1_HUMAN	1	1	1	False	15320,0419921875	13055,3857421875	NaN	19079,345703125	38209,9296875	1963,1390380859375	8490,990234375	NaN	29048,705078125	8477,455078125	46400,89453125	4094,61767578125	6006,763671875	4799,859375	NaN	5915,875	8944,9169921875	2442,372802734375	3030,198974609375	NaN	7348,4755859375	8866,4150390625	13912,046875	4339,20947265625
C4AMC7;Q6VEQ5	WASH3P;WASH2P	Homo sapiens	Putative WAS protein family homolog 3;WAS protein family homolog 2	WASH3_HUMAN;WASH2_HUMAN	3	3	3	False	14072,919921875	10153,62109375	23737,923828125	20505,30078125	18665,197265625	12007,6201171875	7552,701171875	18806,48046875	9222,0146484375	14615,333984375	8527,0009765625	15064,4462890625	7953,435546875	5300,44677734375	10277,412109375	9126,2333984375	5702,087890625	8466,94921875	5081,1279296875	9624,306640625	5647,12109375	7070,26513671875	6626,52734375	7445,39111328125
C9J7I0	UMAD1	Homo sapiens	UBAP1-MVB12-associated (UMA)-domain containing protein 1	UMAD1_HUMAN	1	1	1	False	NaN	3644,638916015625	5418,64404296875	13033,9873046875	10372,9140625	NaN	6900,91650390625	NaN	13950,212890625	NaN	NaN	NaN	NaN	1171,6373291015625	1351,5789794921875	962,6387329101562	484,196533203125	NaN	510,7569274902344	NaN	1610,8548583984375	NaN	NaN	NaN
C9JL84;C9JL84-2	HHLA1	Homo sapiens	HERV-H LTR-associating protein 1;Isoform 2 of HERV-H LTR-associating protein 1	HHLA1_HUMAN	1	1	1	False	NaN	14694,6083984375	1970,6322021484375	15346,126953125	20672,943359375	3765,752197265625	4169,3974609375	4096,2294921875	26297,55078125	NaN	NaN	2751,1259765625	NaN	7,177481651306152	NaN	4,321755409240723	11,02614974975586	NaN	NaN	0,015036286786198616	3,6080780029296875	NaN	NaN	0,051345083862543106
C9JLW8	MCRIP1	Homo sapiens	Mapk-regulated corepressor-interacting protein 1	MCRI1_HUMAN	3	3	3	True	42622,84375	21962,767578125	73788,7734375	57536,19921875	22694,94921875	47121,515625	50381,27734375	53790,765625	38663,89453125	45557,6875	23388,228515625	44457,14453125	16368,576171875	10779,416015625	32405,431640625	23256,609375	9211,33984375	10379,3447265625	17578,181640625	14421,2802734375	17760,072265625	14933,4892578125	5796,29443359375	10419,224609375
E9PAV3;E9PAV3-2;Q13765	NACA	Homo sapiens	Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Isoform skNAC-2 of Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha	NACAM_HUMAN;NACAM_HUMAN;NACA_HUMAN	4	4	6	False	37126,66015625	47307,71484375	37231,5703125	34748,92578125	80939,796875	44479,9765625	46839,20703125	17695,626953125	71752,4609375	31662,154296875	46509,1015625	34350,62109375	5497,8330078125	9933,9453125	7720,9267578125	6847,51220703125	15711,9521484375	10116,541015625	10917,9404296875	5329,7998046875	15709,8173828125	5527,24853515625	10491,30859375	6971,375
L0R819	ASDURF	Homo sapiens	ASNSD1 upstream open reading frame protein	ASURF_HUMAN	2	2	2	True	84185,8125	26425,509765625	81083,5703125	68154,296875	24029,583984375	71104,5078125	47802,80859375	69468,5234375	36043,453125	38398,28125	8881,3486328125	32210,060546875	8009,87841796875	3906,824951171875	10085,783203125	7465,86962890625	4081,45556640625	6549,3154296875	6206,583984375	8620,646484375	4181,75830078125	5561,6044921875	2713,32666015625	4876,6904296875
O00115;O00115-2	DNASE2	Homo sapiens	Deoxyribonuclease-2-alpha;Isoform 2 of Deoxyribonuclease-2-alpha	DNS2A_HUMAN	7	9	9	False	620120,1875	893835,0625	645861,125	417991,21875	745847,875	684766,5	619706,0625	663087,0625	757059,6875	574633,625	705008,375	539261,125	184046,078125	256040,984375	218046,640625	144261,5625	220688,640625	215557,21875	229287,03125	249670,125	244981,265625	180223,734375	202631,125	186395,46875
O00139;O00139-1;O00139-2;O00139-4;O00139-5	KIF2A	Homo sapiens	Kinesin-like protein KIF2A;Isoform 1 of Kinesin-like protein KIF2A;Isoform 2 of Kinesin-like protein KIF2A;Isoform 4 of Kinesin-like protein KIF2A;Isoform 5 of Kinesin-like protein KIF2A	KIF2A_HUMAN	2	2	2	False	5033,42578125	6297,40869140625	NaN	1555,9036865234375	NaN	3952,06689453125	4548,619140625	8596,8984375	3561,2900390625	10,8092041015625	1945,4234619140625	4727,87109375	1173,471923828125	1330,158935546875	NaN	1607,1121826171875	1043,176025390625	1164,1103515625	476,2626037597656	467,3815612792969	1322,1419677734375	1244,99072265625	1171,7186279296875	1381,0814208984375
O00151	PDLIM1	Homo sapiens	PDZ and LIM domain protein 1	PDLI1_HUMAN	13	15	15	False	250798,65625	207320,75	285019,96875	283262,625	217048,125	196607,375	290464,15625	366435,5625	271752,90625	305407,65625	251126,375	295301,34375	66848,015625	50272,62109375	90062,8671875	81268,46875	56316,98046875	58603,91796875	86833,3671875	119292,421875	75661,6640625	98465,5	71296,5	91981,7109375
O00154;O00154-4;O00154-6;O00154-7	ACOT7	Homo sapiens	Cytosolic acyl coenzyme A thioester hydrolase;Isoform 4 of Cytosolic acyl coenzyme A thioester hydrolase;Isoform 6 of Cytosolic acyl coenzyme A thioester hydrolase;Isoform 7 of Cytosolic acyl coenzyme A thioester hydrolase	BACH_HUMAN	10	10	10	False	26672,080078125	26287,35546875	26232,921875	34579,2109375	24911,91015625	25424,533203125	27760,208984375	22700,828125	21064,580078125	29911,591796875	23039,357421875	30852,9296875	10227,0791015625	10643,41015625	10684,8515625	14589,6728515625	11290,3291015625	10020,591796875	11396,7197265625	8289,9287109375	11035,033203125	12616,9248046875	11413,97265625	10864,2373046875
O00159;O00159-2;O00159-3	MYO1C	Homo sapiens	Unconventional myosin-Ic;Isoform 2 of Unconventional myosin-Ic;Isoform 3 of Unconventional myosin-Ic	MYO1C_HUMAN	10	10	11	False	14702,3154296875	13143,12109375	20112,28125	12838,48046875	14593,2314453125	13022,4765625	14335,625	14088,9013671875	12882,7314453125	11485,3486328125	14947,244140625	68837,1328125	2770,29541015625	1622,5556640625	2481,6650390625	1863,3343505859375	2468,500244140625	2862,419677734375	2920,87841796875	4479,77783203125	3360,170166015625	2874,668701171875	2393,45361328125	1411,537109375
O00161;O00161-2	SNAP23	Homo sapiens	Synaptosomal-associated protein 23;Isoform SNAP-23b of Synaptosomal-associated protein 23	SNP23_HUMAN	3	3	4	True	7306,5283203125	9588,48046875	10404,3935546875	19688,986328125	17324,97265625	13856,984375	13728,5576171875	8851,9814453125	9979,8544921875	14746,298828125	15671,595703125	10949,9072265625	2310,9599609375	2165,21484375	4052,05615234375	4311,8115234375	3234,989501953125	2904,7001953125	2663,990234375	1819,81640625	2383,599853515625	2387,76318359375	1904,26416015625	2331,862060546875
O00170	AIP	Homo sapiens	AH receptor-interacting protein	AIP_HUMAN	6	6	6	False	24263,7265625	23385,4296875	23921,7265625	23043,880859375	15759,880859375	23463,927734375	27368,826171875	32935,30078125	17805,974609375	28730,908203125	20057,908203125	25484,01953125	9088,0869140625	8124,80712890625	8743,7734375	8513,0263671875	6346,927734375	9003,8212890625	11056,7646484375	11607,9912109375	6563,20068359375	11770,03515625	8673,6748046875	7947,2587890625
O00186	STXBP3	Homo sapiens	Syntaxin-binding protein 3	STXB3_HUMAN	2	2	2	False	NaN	264,177734375	312,96392822265625	NaN	1924,986083984375	NaN	1391,0052490234375	NaN	862,626708984375	357,4228820800781	NaN	NaN	NaN	142,65362548828125	NaN	NaN	492,0242004394531	224,96571350097656	174,68338012695312	NaN	376,7164306640625	123,84957885742188	103,01031494140625	NaN
O00193	SMAP	Homo sapiens	Small acidic protein	SMAP_HUMAN	2	2	2	True	43370,984375	67632,59375	70205,46875	24872,935546875	75694,1328125	47960,69140625	25337,748046875	15356,8388671875	41661,359375	29015,8671875	17356,01953125	22767,431640625	940,044677734375	2596,486328125	3781,5791015625	1505,5433349609375	3136,11328125	1247,0623779296875	1620,383544921875	3480,052001953125	3453,1845703125	882,9093017578125	1796,427978515625	1201,3946533203125
O00194	RAB27B	Homo sapiens	Ras-related protein Rab-27B	RB27B_HUMAN	2	2	2	False	NaN	10596,3173828125	NaN	2731,470947265625	6664,890625	NaN	NaN	NaN	NaN	3188,356689453125	5215,15869140625	NaN	NaN	8684,4248046875	NaN	463,05712890625	824,4282836914062	NaN	NaN	NaN	NaN	470,88055419921875	313,8350830078125	NaN
O00203;O00203-3	AP3B1	Homo sapiens	AP-3 complex subunit beta-1;Isoform 2 of AP-3 complex subunit beta-1	AP3B1_HUMAN	1	1	1	True	11177,1455078125	4034,722412109375	2413,284423828125	13232,4970703125	19325,896484375	4743,9140625	4231,4462890625	5432,95361328125	12977,4033203125	8042,38037109375	18609,232421875	12591,7041015625	2043,6546630859375	2029,079345703125	1459,8114013671875	1757,01123046875	3430,068115234375	2536,16845703125	2083,06298828125	2617,6630859375	4299,58056640625	2123,4384765625	3118,537353515625	3073,10009765625
O00217	NDUFS8	Homo sapiens	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	NDUS8_HUMAN	1	1	1	False	163,09463500976562	NaN	NaN	168,0200653076172	NaN	946,4487915039062	33,7237663269043	1069,5933837890625	873,82470703125	1118,259765625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0,41626250743865967	1	NaN	1,3760358095169067	NaN	NaN
O00231	PSMD11	Homo sapiens	26S proteasome non-ATPase regulatory subunit 11	PSD11_HUMAN	4	4	4	True	9183,5009765625	3240,41259765625	6384,32568359375	2474,352294921875	1122,6453857421875	7825,49072265625	4114,26220703125	6702,57373046875	1726,1328125	3731,683349609375	3879,64501953125	8435,162109375	9411,80859375	7559,88720703125	7348,671875	5448,4580078125	8973,1552734375	140,6385040283203	4348,203125	91,69271850585938	1425,3321533203125	891,649169921875	417,2756042480469	24,048110961914062
O00232;O00232-2	PSMD12	Homo sapiens	26S proteasome non-ATPase regulatory subunit 12;Isoform 2 of 26S proteasome non-ATPase regulatory subunit 12	PSD12_HUMAN	3	3	3	False	9537,283203125	7801,615234375	8409,072265625	4576,3349609375	6223,361328125	15074,779296875	9858,4140625	12267,466796875	11589,2626953125	13867,9609375	10582,4697265625	17524,904296875	4372,60205078125	797,8240356445312	914,9539794921875	1883,6461181640625	666,406982421875	257,81878662109375	1442,8780517578125	2351,301025390625	1048,671875	1975,0113525390625	1136,09228515625	49,64067459106445
O00233	PSMD9	Homo sapiens	26S proteasome non-ATPase regulatory subunit 9	PSMD9_HUMAN	10	11	13	False	65806,7421875	57449,56640625	85988,453125	87207,1015625	60611,08984375	74619,7265625	74305,8984375	60879,0234375	61928,39453125	91634,9765625	68463,3125	65448,01171875	30206,31640625	27215,837890625	40519,08984375	38250,6796875	28031,01171875	30276,369140625	33085,84765625	30016,66796875	27843,021484375	38073,29296875	26543,529296875	32088,21484375
O00244	ATOX1	Homo sapiens	Copper transport protein ATOX1	ATOX1_HUMAN	5	5	6	False	7217,42822265625	17032,1484375	6520,14013671875	12146,4775390625	10516,88671875	5883,966796875	9225,6328125	1,255747675895691	5891,89453125	6950,98388671875	5679,00146484375	5655,392578125	4218,45654296875	2984,0791015625	2600,33935546875	4190,26416015625	2526,7197265625	3057,45751953125	3892,154296875	862,0620727539062	3164,836181640625	3738,339599609375	2658,348876953125	1999,4549560546875
O00264	PGRMC1	Homo sapiens	Membrane-associated progesterone receptor component 1	PGRC1_HUMAN	3	3	3	False	54871,33203125	55228,2421875	69622,1796875	56579,55078125	70612,046875	70886,625	53475,390625	75429,625	67478,21875	54118,7734375	68818,6875	69457,8203125	14954,71875	13537,326171875	20542,12890625	15803,9482421875	21738,259765625	19273,646484375	15613,595703125	27449,48828125	17052,484375	15092,9306640625	18565,65234375	20985,91796875
O00273	DFFA	Homo sapiens	DNA fragmentation factor subunit alpha	DFFA_HUMAN	6	6	6	False	12989,4892578125	9802,380859375	10668,4130859375	16218,951171875	9959,7080078125	15911,64453125	13889,43359375	13729,1943359375	11061,15234375	8517,06640625	12863,5283203125	10871,19921875	5433,58544921875	2886,381591796875	6344,2861328125	4579,76025390625	3089,619384765625	3862,955810546875	4438,5234375	5933,04150390625	2798,82080078125	4373,56396484375	3390,484130859375	2554,685791015625
O00291;O00291-3;O00291-4	HIP1	Homo sapiens	Huntingtin-interacting protein 1;Isoform 3 of Huntingtin-interacting protein 1;Isoform 4 of Huntingtin-interacting protein 1	HIP1_HUMAN	3	3	3	False	1324,4915771484375	NaN	1063,1053466796875	1110,562255859375	2273,631591796875	NaN	172,05938720703125	NaN	NaN	865,5135498046875	1551,44091796875	1032,3721923828125	1967,2679443359375	1229,0126953125	2976,16162109375	2514,745849609375	2000,669677734375	2714,270263671875	1848,577880859375	NaN	977,8753051757812	1830,6737060546875	1553,4954833984375	1869,5941162109375
O00299	CLIC1	Homo sapiens	Chloride intracellular channel protein 1	CLIC1_HUMAN	14	14	16	False	124280,5390625	178973,5	78279	152157,8125	189265,03125	134398,328125	141758,21875	106351,96875	150619,75	171853,703125	189575,28125	141846,453125	39875,3125	50281,390625	20368,978515625	39980,8046875	54180,66796875	40597,0546875	38252,6875	22434,060546875	46479,2890625	52007,2421875	63252,8125	36021,28125
O00300	TNFRSF11B	Homo sapiens	Tumor necrosis factor receptor superfamily member 11B	TR11B_HUMAN	1	1	1	False	14623,595703125	37048,546875	44705,125	20609,3671875	59780,7265625	55161,96875	30262,84375	8711,39453125	44164,984375	29026,595703125	48056,46484375	44186,875	3158,947021484375	6086,3916015625	5669,884765625	3141,8359375	5331,65966796875	7071,66552734375	3425,955810546875	3511,34423828125	5883,6611328125	4914,07958984375	6778,30859375	7734,22998046875
O00303	EIF3F	Homo sapiens	Eukaryotic translation initiation factor 3 subunit F	EIF3F_HUMAN	3	3	3	True	25813,587890625	26538,126953125	36919,609375	6682,9130859375	28747,642578125	29115,8984375	11064,1767578125	17359,228515625	10765,6279296875	3807,448486328125	3320,414306640625	7085,7431640625	9766,73046875	15413,73046875	3081,396728515625	5802,9560546875	4069,3623046875	3601,75390625	2949,298095703125	1760,74560546875	5352,12646484375	3005,4501953125	2748,03857421875	47,23678207397461
