PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.MS1Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.MS1Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.MS1Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.MS1Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.MS1Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.MS1Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.MS1Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.MS1Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.MS1Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.MS1Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.MS1Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.MS1Quantity	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.MS2Quantity
A0FGR8-2	ESYT2	Homo sapiens	Isoform 2 of Extended synaptotagmin-2	ESYT2_HUMAN	36	37	38	False	882517,75	177019,890625	477473,78125	932196,5	304227,28125	364014,84375	672922,0625	784482,5625	301478,03125	547863,5	658140,8125	857315,9375	694547,4375	142451,921875	366768,8125	675275,8125	246600,59375	264234,4375	555795,625	587189,875	209114,546875	444315,25	467938,03125	643719,3125
A0JLT2;A0JLT2-2	MED19	Homo sapiens	Mediator of RNA polymerase II transcription subunit 19;Isoform 2 of Mediator of RNA polymerase II transcription subunit 19	MED19_HUMAN	4	4	4	False	82890,125	102536,03125	76487,2734375	69115,15625	69867,96875	46781,6640625	111320,8671875	75153,21875	25898,669921875	86110,84375	66652,2734375	50504,2578125	90183,7421875	202505,546875	133847,265625	107690,15625	197379,125	77216,875	110919,25	142288,203125	59148,1875	91540,3515625	142127,015625	70368,2109375
A0JNW5	UHRF1BP1L	Homo sapiens	UHRF1-binding protein 1-like	UH1BL_HUMAN	6	6	6	False	226527,109375	146678,578125	230869,375	147070,703125	188274,984375	197054,015625	271561,53125	258393,5	164410,390625	189088,09375	141673,4375	158060,671875	85148,0625	69597,5703125	81205,4921875	112569,796875	129170,0625	93949,828125	84812,0390625	110916,7734375	78973,421875	83196,984375	76728,875	66601,6171875
A0PJW6	TMEM223	Homo sapiens	Transmembrane protein 223	TM223_HUMAN	2	2	2	False	71727,9296875	NaN	72148,296875	93631,96875	37136,6875	26498,052734375	NaN	166882,796875	35990,77734375	71037,46875	32904,828125	42007,55078125	17789,83984375	NaN	19262,080078125	19828,74609375	9338,275390625	10433,3984375	NaN	14600,4755859375	4215,1142578125	9816,40625	5869,0888671875	18912,486328125
A1A4S6	ARHGAP10	Homo sapiens	Rho GTPase-activating protein 10	RHG10_HUMAN	16	16	17	False	256308,640625	281823	242972,015625	225904,203125	307310,1875	239784,4375	333629,9375	246561,09375	307048,6875	230617,765625	232964,453125	211617,453125	41854,2890625	48308,0625	42734,38671875	39698,8984375	46796,265625	45409,12109375	51695,37890625	43425,328125	52179,046875	40993,46875	45781,89453125	42440,0390625
A1L0T0	ILVBL	Homo sapiens	2-hydroxyacyl-CoA lyase 2	HACL2_HUMAN	17	17	19	False	2222073	966093,875	1082564,875	2051602,5	1204994	1034933,1875	1496893,75	1610270,5	1013814,1875	1015992,8125	1176861,625	1562113,875	315544,5625	135213,890625	174260,078125	285697,8125	161711,28125	156317,53125	211080,546875	232481,8125	138313,0625	171997,265625	164531,984375	220774,28125
A1L188	NDUFAF8	Homo sapiens	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	NDUF8_HUMAN	1	1	1	False	145738,46875	173960,296875	60642,9140625	74712,3984375	107046,140625	184490,03125	43467,51171875	58896,171875	168952,53125	200103,90625	87965,6484375	44314,86328125	14965,7236328125	16826,30078125	15880,1943359375	11129,4111328125	21731	17730,2734375	17772,203125	4601,40576171875	20071,01171875	20152,14453125	16277,2841796875	9008,5810546875
A1L390;A1L390-3	PLEKHG3	Homo sapiens	Pleckstrin homology domain-containing family G member 3;Isoform 3 of Pleckstrin homology domain-containing family G member 3	PKHG3_HUMAN	8	8	8	False	NaN	2735,423828125	1257,6888427734375	4532,63525390625	8190,46826171875	NaN	9198,953125	6055,87158203125	6094,6767578125	2993,80419921875	4210,6298828125	7113,716796875	9936,4736328125	10216,634765625	10716,013671875	8165,22705078125	8172,90869140625	8991,4052734375	7842,74365234375	7236,03759765625	9156,3984375	7885,52783203125	8093,3701171875	6996,30859375
A1L4H1	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	2	2	2	False	NaN	13862,6787109375	NaN	182159,4375	13079,9384765625	NaN	NaN	177138,265625	29658,5859375	NaN	NaN	NaN	4722,896484375	2645,609375	NaN	5712,25927734375	4048,62841796875	3792,43994140625	NaN	5629,6884765625	2587,971923828125	NaN	NaN	NaN
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	38	39	43	False	740354,4375	764972,875	830076,3125	817505,8125	788988,375	964331,25	678379	923587,375	986824,125	746348,8125	990048,125	946987,25	158503,953125	156972,109375	183947,390625	175996,484375	161113,234375	200792,15625	145246,90625	200281,390625	200005,46875	167012,671875	212995,734375	214784,90625
A1XBS5;A1XBS5-2	FAM92A	Homo sapiens	Protein FAM92A;Isoform 2 of Protein FAM92A	FA92A_HUMAN	4	4	4	True	146488,34375	157577,34375	150226,0625	118801,3515625	84356,1171875	77346,765625	28782,6484375	47971,7734375	63009,52734375	113812,03125	39527,48046875	91450,140625	10545,5615234375	18315,2421875	12158,1279296875	11524,302734375	14861,4345703125	12680,107421875	7277,29443359375	7813,548828125	10722,37890625	7922,7431640625	6479,53369140625	5678,1171875
A2RRP1	NBAS	Homo sapiens	Neuroblastoma-amplified sequence	NBAS_HUMAN	48	48	48	False	218374,328125	192649,546875	183588,390625	219146,984375	200168,625	187473,875	244017,421875	211231,296875	220497,296875	175126,53125	203559,6875	214618,890625	360735,71875	301737,90625	304120,9375	335244,40625	307561,0625	288386,09375	381003,09375	356328,3125	336424,96875	295581,625	297711,1875	363127,3125
A2RU48	SMCO3	Homo sapiens	Single-pass membrane and coiled-coil domain-containing protein 3	SMCO3_HUMAN	1	1	1	False	105976,296875	NaN	59229,6328125	129892,5	NaN	125928,5	22382,28515625	97729	NaN	NaN	34316,3828125	81953,9140625	2088,7529296875	NaN	NaN	4304,20947265625	695,9880981445312	232,29208374023438	NaN	NaN	NaN	NaN	682,7890014648438	NaN
A2RU67	FAM234B	Homo sapiens	Protein FAM234B	F234B_HUMAN	3	3	3	False	10627,0576171875	5979,83935546875	48945,2734375	51468,00390625	13839,9404296875	29421,03515625	7559,89404296875	25019,283203125	14017,4228515625	22821,51171875	9449,50390625	30817,50390625	27636,99609375	5601,2880859375	6015,50341796875	6153,51318359375	5416,298828125	2565,4560546875	2494,216796875	6393,2490234375	5317,31005859375	3278,977783203125	5081,31005859375	7374,40283203125
A2RUB1;A2RUB1-1;A2RUB1-2;A2RUB1-5	MEIOC	Homo sapiens	Meiosis-specific coiled-coil domain-containing protein MEIOC;Isoform 3 of Meiosis-specific coiled-coil domain-containing protein MEIOC;Isoform 2 of Meiosis-specific coiled-coil domain-containing protein MEIOC;Isoform 4 of Meiosis-specific coiled-coil domain-containing protein MEIOC	MEIOC_HUMAN	1	1	1	True	394476,5625	NaN	40834,77734375	200843,5	NaN	219745,0625	1020364,625	422936,5	NaN	27238,044921875	NaN	22256,580078125	113837,09375	NaN	19363,322265625	59656,03515625	NaN	55480,4609375	266959,125	119495,4375	NaN	18520,27734375	NaN	21397,201171875
A2RUB6;A2RUB6-3	CCDC66	Homo sapiens	Coiled-coil domain-containing protein 66;Isoform 3 of Coiled-coil domain-containing protein 66	CCD66_HUMAN	3	3	3	False	479788,03125	182476	297543,65625	261448,875	223174,640625	355876,78125	425807,34375	496032,96875	271435,75	307510,03125	96687,1015625	137553,609375	4962,046875	2,577643394470215	3378,03662109375	7162,35791015625	4199,31494140625	3785,0341796875	11245,1845703125	6056,80517578125	3316,722900390625	6009,6025390625	1514,256103515625	3658,914794921875
A2RUC4	TYW5	Homo sapiens	tRNA wybutosine-synthesizing protein 5	TYW5_HUMAN	2	2	2	False	NaN	NaN	325576,34375	NaN	82388,5546875	NaN	273336,40625	NaN	64996,97265625	NaN	NaN	NaN	NaN	NaN	3348,211669921875	NaN	1704,9483642578125	NaN	3612,663818359375	NaN	2510,430908203125	NaN	NaN	NaN
A2RUS2;A2RUS2-2	DENND3	Homo sapiens	DENN domain-containing protein 3;Isoform 2 of DENN domain-containing protein 3	DEND3_HUMAN	11	11	11	False	35340,640625	57160,05078125	44295,36328125	31486,05859375	29346,1484375	37587,65625	29984,662109375	48813,8125	29178,86328125	27054,54296875	34512,85546875	43521,34765625	6493,7216796875	6230,03955078125	7566,34375	5857,34619140625	4269,63330078125	6469,06982421875	6388,3974609375	7263,57421875	8599,5380859375	4884,490234375	3945,8310546875	7281,9365234375
A2VDJ0;A2VDJ0-2;A2VDJ0-3;A2VDJ0-5;A2VDJ0-6	TMEM131L	Homo sapiens	Transmembrane protein 131-like;Isoform 2 of Transmembrane protein 131-like;Isoform 3 of Transmembrane protein 131-like;Isoform 4 of Transmembrane protein 131-like;Isoform 5 of Transmembrane protein 131-like	T131L_HUMAN	1	1	1	False	NaN	NaN	37216,4140625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	906,8770141601562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A3KMH1;A3KMH1-3	VWA8	Homo sapiens	von Willebrand factor A domain-containing protein 8;Isoform 3 of von Willebrand factor A domain-containing protein 8	VWA8_HUMAN	25	25	25	False	36072,44921875	41089,4375	37069,49609375	36005,0703125	39061,75	38721,75390625	38016,42578125	33663,39453125	33343,546875	31829,859375	34793,55859375	34154,015625	19472,67578125	14844,7421875	16663,041015625	18395,0234375	14643,6728515625	15624,5927734375	15208,197265625	16032,2626953125	13940,2177734375	14283,72265625	12763,544921875	15828,8798828125
A3KN83;A3KN83-2;A3KN83-3	SBNO1	Homo sapiens	Protein strawberry notch homolog 1;Isoform 2 of Protein strawberry notch homolog 1;Isoform 3 of Protein strawberry notch homolog 1	SBNO1_HUMAN	9	9	9	False	61150,7734375	22404,2109375	66069,6328125	51885,30078125	41027,07421875	33288,90234375	38169,91015625	36638,3515625	40850,984375	32823,609375	35131,2890625	27908,91015625	8989,8447265625	7101,46240234375	7738,43994140625	8766,669921875	7451,7578125	8313,5302734375	10726,484375	6522,35400390625	4394,78173828125	8315,4931640625	7350,52392578125	8053,60888671875
A4D126;A4D126-2	CRPPA	Homo sapiens	D-ribitol-5-phosphate cytidylyltransferase;Isoform 2 of D-ribitol-5-phosphate cytidylyltransferase	ISPD_HUMAN	1	1	1	False	16609,27734375	19869,84375	NaN	NaN	12542,0283203125	NaN	15748,916015625	NaN	NaN	29390,732421875	8185,4013671875	14577,9833984375	8876,39453125	5214,2783203125	NaN	NaN	6385,17041015625	7056,078125	12019,74609375	NaN	8368,0673828125	9299,498046875	10397,1474609375	6750,11669921875
A4D1E9;A4D1E9-2	GTPBP10	Homo sapiens	GTP-binding protein 10;Isoform 2 of GTP-binding protein 10	GTPBA_HUMAN	2	2	2	False	21318,58984375	NaN	3996,2392578125	8223,47265625	13648,8173828125	26117,494140625	NaN	11875,5556640625	NaN	12128,2041015625	2263,887451171875	6511,9716796875	3910,642333984375	1792,28857421875	2999,821044921875	4658,05029296875	996,0810546875	1503,2425537109375	4315,8662109375	4790,59765625	2200,561279296875	1551,856689453125	1705,20361328125	5061,38134765625
A4D1P6;A4D1P6-2	WDR91	Homo sapiens	WD repeat-containing protein 91;Isoform 2 of WD repeat-containing protein 91	WDR91_HUMAN	9	9	10	False	107784,4140625	105294,515625	93330,4453125	102570,1484375	66829,25	105658,03125	91467,984375	86699,75	71284,6015625	80758,6015625	76940,5703125	87752,328125	43578,8515625	33652,12109375	33585,80859375	43837,4765625	31418,919921875	38179,94140625	37018,65625	31805,724609375	26199,189453125	26202,69921875	26298,4765625	29334,5546875
A5A3E0	POTEF	Homo sapiens	POTE ankyrin domain family member F	POTEF_HUMAN	2	4	4	False	131558,5625	11596,4755859375	52746,45703125	22323,93359375	34985,5859375	104482,875	69089,34375	8239,5380859375	31959,8984375	13652,4267578125	17582,8671875	28672,751953125	844440,5	715808,8125	571516,25	769089,1875	748651,8125	802236,375	1113659,25	776907,1875	831747,5	629109,5625	611853,8125	642669,625
A5D8V6	VPS37C	Homo sapiens	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	1	1	1	False	225066,3125	258419,078125	194125,953125	138269,734375	183891,78125	306888,65625	198461,1875	228860,40625	183924,53125	127456,34375	206501,859375	153610,65625	50902,75	60533,0546875	55329,45703125	66247,8828125	60910,98046875	79127,546875	76443,6484375	65360,16015625	70790,8515625	67695,90625	52943,72265625	51720,57421875
A5PLK6;A5PLK6-6	RGSL1	Homo sapiens	Regulator of G-protein signaling protein-like;Isoform 6 of Regulator of G-protein signaling protein-like	RGSL_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	118999,734375	NaN	NaN	9150,94921875	103270,109375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	865,0126342773438	NaN	NaN	775,38037109375	1346,724365234375	NaN	NaN
A5PLL7	PEDS1	Homo sapiens	Plasmanylethanolamine desaturase	PDES1_HUMAN	6	6	7	False	188226,09375	76674,796875	172511,953125	146402,640625	38239,09375	15279,5869140625	136781,84375	215696,5625	65543,2265625	42809,9296875	46128,4140625	183340,046875	42624,6015625	11650,169921875	29517,615234375	25267,41015625	4857,5634765625	3457,064697265625	31727,009765625	35190,26953125	12277,841796875	6955,9873046875	8862,095703125	27685,609375
A5PLN9-4;A5PLN9-5	TRAPPC13	Homo sapiens	Isoform 3 of Trafficking protein particle complex subunit 13;Isoform 4 of Trafficking protein particle complex subunit 13	TPC13_HUMAN	8	8	8	False	115375,3828125	141748,9375	97886,4453125	100045,359375	97603,140625	116599,6640625	100215,7109375	164827,6875	139772,765625	113051,53125	112910,9453125	98869,625	33316,66015625	32790,4296875	27172,51953125	27214,32421875	31840,57421875	25358,07421875	28249,287109375	22874,107421875	29682,603515625	24399,556640625	29849,798828125	30195,693359375
A5YKK6	CNOT1	Homo sapiens	CCR4-NOT transcription complex subunit 1	CNOT1_HUMAN	45	46	51	False	315491,3125	225819,59375	228269,90625	275291,25	235293,140625	212213	287595,59375	269708,28125	201110,03125	207829,359375	199634,546875	249984,578125	113959,3046875	81312,953125	84922,0234375	100800,859375	79547,921875	79606,09375	107625,3671875	93675,4375	72100,75	81280,0625	72632,8515625	92767,3515625
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	MP3B2_HUMAN;MLP3B_HUMAN	2	2	3	False	934736,8125	732929,3125	1135697,625	1257165,125	1045720,0625	1346104,875	885529,875	1259333,25	735838,1875	945807,6875	1078773,375	1129008,25	192591,328125	151881,625	200228,796875	234582,125	205114,40625	226469,796875	175193,15625	221387,46875	132429,15625	181337,71875	200512,46875	234807,703125
A6NCM1	IQCA1L	Homo sapiens	IQ and AAA domain-containing protein 1-like	IQCAL_HUMAN	1	1	1	False	NaN	492855,6875	434687,75	NaN	494011,15625	522408,4375	NaN	NaN	NaN	436651,9375	NaN	340236,5	NaN	0,0007989120786078274	NaN	NaN	1,6825406551361084	1	NaN	NaN	NaN	NaN	NaN	NaN
A6NDE4;A6NEQ0;P0C7P1;P0C7P1-2;P0DJD3;P0DJD3-2;P0DJD4;Q15415;Q15415-2	RBMY1B;RBMY1E;RBMY1D;RBMY1D;RBMY1A1;RBMY1A1;RBMY1C;RBMY1F;RBMY1F	Homo sapiens	RNA-binding motif protein, Y chromosome, family 1 member B;RNA-binding motif protein, Y chromosome, family 1 member E;RNA-binding motif protein, Y chromosome, family 1 member D;Isoform 2 of RNA-binding motif protein, Y chromosome, family 1 member D;RNA-binding motif protein, Y chromosome, family 1 member A1;Isoform 2 of RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member C;RNA-binding motif protein, Y chromosome, family 1 member F/J;Isoform 2 of RNA-binding motif protein, Y chromosome, family 1 member F/J	RBY1B_HUMAN;RBY1E_HUMAN;RBY1D_HUMAN;RBY1D_HUMAN;RBY1A_HUMAN;RBY1A_HUMAN;RBY1C_HUMAN;RBY1F_HUMAN;RBY1F_HUMAN	1	1	1	False	131519,625	131823,390625	132770,0625	128585,9375	138040,796875	125778,96875	120610,359375	82388,734375	123007,7109375	126370,1328125	104211,1328125	109384,609375	3105,6884765625	4293,49560546875	4597,58447265625	3629,66015625	4938,48583984375	3922,583251953125	3492,81884765625	4478,138671875	6087,95458984375	5322,72314453125	5624,1689453125	5646,04638671875
A6NDG6	PGP	Homo sapiens	Glycerol-3-phosphate phosphatase	PGP_HUMAN	11	11	11	False	489424,25	366414,90625	488483,15625	547141,375	451008,78125	462177,6875	674120,6875	457487,78125	476717,34375	495327,59375	450093,5625	393277,25	90648,046875	113974,3984375	105125,2109375	105052,8359375	124021,65625	103934,5546875	111616,375	106256,53125	143739,234375	100222,1328125	130008,8828125	117872,6640625
A6NDN3	GOLGA6B	Homo sapiens	Golgin subfamily A member 6B	GOG6B_HUMAN	1	1	1	False	NaN	NaN	NaN	20459,255859375	NaN	29691,28515625	NaN	14008,873046875	NaN	24722,205078125	NaN	NaN	NaN	NaN	NaN	2377,928466796875	NaN	2757,3388671875	NaN	1959,672119140625	NaN	2913,196044921875	NaN	NaN
A6NDU8	C5orf51	Homo sapiens	UPF0600 protein C5orf51	CE051_HUMAN	10	10	11	False	448029,5625	232775,125	367732,59375	350453,21875	342928,78125	276256,9375	367249,125	342103,1875	267680,875	310102,625	280324,0625	403324,03125	71752,2578125	54060,58203125	69599,875	73026,7265625	62439,734375	48933,03515625	62868,38671875	67382,3046875	55133,68359375	50068,73828125	58723,72265625	73768,96875
A6NED2	RCCD1	Homo sapiens	RCC1 domain-containing protein 1	RCCD1_HUMAN	2	2	2	False	30044,34765625	19649,009765625	9366,8076171875	24534,697265625	16257,9169921875	51119,2578125	16414,47265625	48098,24609375	56724,16796875	25860,240234375	69787,3671875	33419,2421875	5270,23583984375	11939,263671875	10107,8662109375	9407,638671875	12994,7197265625	13398,8037109375	8733,0126953125	9875,767578125	9741,4111328125	12977,171875	11721,232421875	10200,74609375
A6NFI3	ZNF316	Homo sapiens	Zinc finger protein 316	ZN316_HUMAN	1	1	1	False	18647,857421875	NaN	NaN	15343,013671875	7618,75244140625	3246,378173828125	4966,30078125	NaN	7811,41064453125	8018,3525390625	6343,6318359375	3451,244873046875	2466,4140625	NaN	NaN	3638,281494140625	1185,54736328125	1027,0904541015625	1834,6099853515625	1995,2430419921875	481,4274597167969	2126,251708984375	3297,966552734375	2809,602294921875
