PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS1Quantity	[2] ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS1Quantity	[3] ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS1Quantity	[4] ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS1Quantity	[5] ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS1Quantity	[6] ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS1Quantity	[7] ASC_WT_WCL_Light_1.raw.PG.MS1Quantity	[8] ASC_WT_WCL_Light_2.raw.PG.MS1Quantity	[9] ASC_WT_WCL_Light_3.raw.PG.MS1Quantity	[10] ASC_WT_WCL_WO_1.raw.PG.MS1Quantity	[11] ASC_WT_WCL_WO_2.raw.PG.MS1Quantity	[12] ASC_WT_WCL_WO_3.raw.PG.MS1Quantity	[1] ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS2Quantity	[2] ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS2Quantity	[3] ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS2Quantity	[4] ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS2Quantity	[5] ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS2Quantity	[6] ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS2Quantity	[7] ASC_WT_WCL_Light_1.raw.PG.MS2Quantity	[8] ASC_WT_WCL_Light_2.raw.PG.MS2Quantity	[9] ASC_WT_WCL_Light_3.raw.PG.MS2Quantity	[10] ASC_WT_WCL_WO_1.raw.PG.MS2Quantity	[11] ASC_WT_WCL_WO_2.raw.PG.MS2Quantity	[12] ASC_WT_WCL_WO_3.raw.PG.MS2Quantity
A0AVT1	UBA6	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN	48	49	53	False	643469,5	663122,5625	673334,125	658469,3125	645795	584632,0625	607589,0625	574431,8125	594477,75	517697,84375	513373,3125	522919,0625	138614,78125	145242,328125	140631,046875	138576,046875	138941,703125	125484,0546875	133942,546875	117167,7734375	126759,8203125	107376,4140625	113721,3671875	104309,203125
A0FGR8-2	ESYT2	Homo sapiens	Isoform 2 of Extended synaptotagmin-2	ESYT2_HUMAN	29	29	30	False	559893,375	440657,6875	648874,6875	614766,125	565346,75	650437,625	422702,71875	375231,90625	402342,5625	657291,6875	370122,40625	407925,25	97105,625	72327,1015625	125261,2734375	122973,375	109665,4140625	124021,1328125	99469,625	88563,671875	80795,21875	145205,171875	75030,6484375	94414,84375
A0JLT2;A0JLT2-2	MED19	Homo sapiens	Mediator of RNA polymerase II transcription subunit 19;Isoform 2 of Mediator of RNA polymerase II transcription subunit 19	MED19_HUMAN	4	4	5	True	81982,8046875	65634,8828125	89831,359375	72950,4375	72464,546875	110495,203125	99183,3125	90326,6875	63576,35546875	14621,56640625	72832,9453125	13172,9306640625	26049,3125	21372,42578125	17182,18359375	17247,271484375	17183,052734375	18577,2578125	15914,9609375	16819,103515625	14949,044921875	1257,417236328125	11172,177734375	4319,65771484375
A0JNW5	UHRF1BP1L	Homo sapiens	UHRF1-binding protein 1-like	UH1BL_HUMAN	11	11	11	False	38401,94140625	36777,8203125	32382,822265625	36942,1015625	28964,423828125	25651,7734375	37509,08203125	27942,236328125	25750,630859375	28841,978515625	17692,5234375	36855,56640625	5782,27880859375	5200,93212890625	5549,91943359375	6053,9560546875	4557,62646484375	5010,43359375	5447,60546875	4224,064453125	4480,0126953125	5535,76513671875	5343,23193359375	5272,064453125
A0MZ66;A0MZ66-3;A0MZ66-4	SHTN1	Homo sapiens	Shootin-1;Isoform 3 of Shootin-1;Isoform 4 of Shootin-1	SHOT1_HUMAN	9	9	9	False	15406,375	17457,7578125	12059,6767578125	13926,2392578125	10433,607421875	19732,388671875	10740,353515625	10823,0771484375	12600,6982421875	13309,09375	10822,43359375	12475,4814453125	7561,98486328125	8326,5263671875	6775,6875	6317,36083984375	7343,52880859375	7849,03564453125	7633,16015625	7565,97705078125	7632,34619140625	6621,75390625	8880,5771484375	6330,9716796875
A0PJW6	TMEM223	Homo sapiens	Transmembrane protein 223	TM223_HUMAN	2	2	2	False	90582,9765625	20286,880859375	45410,11328125	41843,97265625	18057,046875	66564,6953125	62895,109375	67822,921875	34605,78125	67544,7734375	38987,86328125	NaN	7180,36083984375	7393,94775390625	4746,5986328125	8679,572265625	6521,5439453125	8630,115234375	9763,8583984375	5549,54443359375	4955,93017578125	4720,70849609375	4727,90673828125	NaN
A1A4S6	ARHGAP10	Homo sapiens	Rho GTPase-activating protein 10	RHG10_HUMAN	17	19	19	False	99194,625	103500,640625	75077,765625	114307,46875	108228,0625	115079,59375	102499,515625	87155,3671875	65193,1953125	76056,453125	62743,984375	75441,390625	27508,12890625	31435,9375	29983,556640625	30594,26953125	33081,625	33738,140625	26891,541015625	25131,568359375	22356,345703125	26907,9765625	23845,12890625	23567,78125
A1A519;A1A519-2;A1A519-3;A1A519-4	FAM170A	Homo sapiens	Protein FAM170A;Isoform 2 of Protein FAM170A;Isoform 3 of Protein FAM170A;Isoform 4 of Protein FAM170A	F170A_HUMAN	1	1	1	False	120539,5234375	NaN	130114,390625	NaN	NaN	87165,9140625	76419,1796875	NaN	NaN	NaN	NaN	NaN	2656,926513671875	NaN	3883,046630859375	NaN	NaN	2797,36767578125	408,3324890136719	NaN	NaN	NaN	NaN	NaN
A1KXE4	FAM168B	Homo sapiens	Myelin-associated neurite-outgrowth inhibitor	F168B_HUMAN	2	2	2	False	NaN	NaN	NaN	2,4631307125091553	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3689,2314453125	4754,3525390625	4195,68896484375	4173,21142578125	3879,635986328125	NaN	NaN	2809,881103515625	1967,2496337890625	1282,031494140625	NaN
A1L0T0	ILVBL	Homo sapiens	2-hydroxyacyl-CoA lyase 2	HACL2_HUMAN	17	17	18	False	422416,8125	474344,5625	598245,25	504539,9375	486844,84375	450819,25	428786,40625	426660,1875	320937,4375	546035,25	292592,5	360522,375	72063,1484375	88496,34375	110952,5703125	99497,9609375	97583,4375	93447,671875	81825,5703125	82071,1796875	65304,33203125	104425,6875	66999,796875	68943,8515625
A1L188	NDUFAF8	Homo sapiens	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	NDUF8_HUMAN	1	1	1	False	117265,1796875	124520,7109375	44452,48828125	58613,7734375	91382,796875	78642,171875	93536,7734375	95799,09375	65720,1953125	76103,65625	66108,78125	48379,65625	26993,796875	30842,095703125	27046,162109375	27931,080078125	29822,4921875	36249,37109375	29809,9140625	29451,103515625	22270,8125	23841,837890625	33807,28515625	10251,5087890625
A1L4H1	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	222559,828125	328676,625	167605,421875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2333,6328125	3935,4365234375	2580,30419921875	NaN
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	32	32	35	False	483278,21875	347667,875	415227,53125	394520	331461,28125	365963,125	324166,59375	350612,125	412152,875	341978,96875	301657	421155,0625	142219,3125	100628,0703125	119429,6015625	107215,6484375	94980,640625	103931,703125	94003,421875	108540,28125	134430,984375	121241,34375	130311,2890625	144831,015625
A1XBS5;A1XBS5-2	FAM92A	Homo sapiens	Protein FAM92A;Isoform 2 of Protein FAM92A	FA92A_HUMAN	3	3	3	False	41809,59375	9996,3740234375	16287,56640625	16241,2646484375	21676,400390625	59571,5390625	31843,4296875	4031,5732421875	42073,58984375	2780,821044921875	1849,3145751953125	14459,005859375	5163,39501953125	5470,40283203125	5985,09765625	6133,32666015625	5649,97021484375	7039,0595703125	7729,783203125	6498,46826171875	7261,9287109375	3780,4033203125	6199,81494140625	4986,01708984375
A2A3N6	PIPSL	Homo sapiens	Putative PIP5K1A and PSMD4-like protein	PIPSL_HUMAN	9	11	12	False	1340199,25	1295006	1326987,375	1155436,125	1068245	1370681,5	1324954,625	1261446,5	1151701,875	1544456,75	1311572,875	1475926	152060,28125	177179,90625	173985,40625	138148,4375	141631,703125	178823,234375	147066,0625	142425,171875	132127,546875	151888,03125	141487,484375	155520,75
A2RRD8	ZNF320	Homo sapiens	Zinc finger protein 320	ZN320_HUMAN	3	3	3	True	13006,857421875	9414,9892578125	10952,201171875	16894,974609375	18302,01953125	10966,5361328125	10358,50390625	10897,271484375	9570,046875	26265,234375	11617,9658203125	21567,462890625	1915,19873046875	1451,7764892578125	1390,4722900390625	2122,6357421875	2258,49462890625	1703,2344970703125	1032,447265625	1429,7119140625	1714,40380859375	3001,654296875	2228,088134765625	3042,9404296875
A2RRP1	NBAS	Homo sapiens	Neuroblastoma-amplified sequence	NBAS_HUMAN	54	55	57	False	89339,078125	118557,265625	121116,625	124872,5390625	122362,8515625	108750,40625	111927,3828125	100594,7265625	76538,4140625	109661,09375	68842,8359375	73797,796875	39312,2734375	54555,28125	57944,32421875	55509,92578125	57409,421875	56580,57421875	53224,66015625	43884,3671875	34949,65625	51241,27734375	35796,171875	34851,15234375
A2RTX5;A2RTX5-2	TARS3	Homo sapiens	Threonine--tRNA ligase 2, cytoplasmic;Isoform 2 of Threonine--tRNA ligase 2, cytoplasmic	SYTC2_HUMAN	5	5	5	False	13787,470703125	11316,658203125	15536,09375	18551,46875	NaN	12895,30859375	17691,505859375	11920,46875	1481,0860595703125	5944,07373046875	NaN	28855,923828125	3339,3232421875	2428,7626953125	2258,230712890625	1977,5738525390625	NaN	3685,765380859375	3265,736083984375	3049,24462890625	2306,86572265625	2678,773193359375	NaN	837,8397827148438
A2RU67	FAM234B	Homo sapiens	Protein FAM234B	F234B_HUMAN	1	1	1	False	2794858,25	1861976,25	1947452,625	NaN	2781594,25	NaN	513453,4375	NaN	NaN	NaN	NaN	NaN	1899,67138671875	2468,48486328125	2971,409423828125	NaN	1947,5501708984375	NaN	4568,39697265625	NaN	NaN	NaN	NaN	NaN
A2RUC4	TYW5	Homo sapiens	tRNA wybutosine-synthesizing protein 5	TYW5_HUMAN	3	3	3	False	184399,078125	57205,6953125	88448,140625	55415,515625	40734,05859375	63644,69921875	97499,5	39685,421875	37775,30078125	70561,1796875	93093,75	62748,88671875	27369,708984375	23266,166015625	19378,17578125	26068,90625	23239,75390625	23278,712890625	26104,083984375	26430,40234375	18839,470703125	14269,361328125	18921,05078125	22087,06640625
A2RUS2;A2RUS2-2	DENND3	Homo sapiens	DENN domain-containing protein 3;Isoform 2 of DENN domain-containing protein 3	DEND3_HUMAN	12	12	12	True	35144,140625	26040,228515625	32891,49609375	32045,3046875	34678,37109375	24466,619140625	14419,7890625	17850,837890625	23138,419921875	18235,306640625	26328,744140625	28609,70703125	4284,9033203125	2724,496337890625	3831,642578125	5734,06640625	3460,744384765625	5688,43359375	2232,63427734375	1687,1246337890625	3239,670166015625	2729,67431640625	3364,68310546875	2804,7509765625
A2VDJ0;A2VDJ0-3;A2VDJ0-5	TMEM131L	Homo sapiens	Transmembrane protein 131-like;Isoform 3 of Transmembrane protein 131-like;Isoform 4 of Transmembrane protein 131-like	T131L_HUMAN	1	1	1	False	NaN	90597,3203125	12956,6103515625	8438,4091796875	121581,4921875	123639,2421875	49829,51171875	8575,884765625	NaN	40408,85546875	43352,4765625	NaN	NaN	6005,041015625	2177,12353515625	7079,1865234375	4858,5302734375	5412,17431640625	823,06591796875	4900,36328125	8578,6943359375	2431,1494140625	3006,58447265625	NaN
A3KMH1;A3KMH1-3	VWA8	Homo sapiens	von Willebrand factor A domain-containing protein 8;Isoform 3 of von Willebrand factor A domain-containing protein 8	VWA8_HUMAN	34	34	35	False	571211,9375	1001773,6875	837667,0625	662469	597701,1875	982904,5	693561,5	673753,5625	483274,65625	763566,4375	581643,9375	633796,625	20755,552734375	31772,087890625	25968,33203125	22599,453125	21502,009765625	31592,611328125	21090,021484375	21310,095703125	19203,232421875	22253,6953125	24341,01953125	19897,373046875
A3KN83;A3KN83-2;A3KN83-3	SBNO1	Homo sapiens	Protein strawberry notch homolog 1;Isoform 2 of Protein strawberry notch homolog 1;Isoform 3 of Protein strawberry notch homolog 1	SBNO1_HUMAN	10	10	10	True	39288,4140625	12885,47265625	27115,052734375	33395,2265625	24014,361328125	27209,830078125	34995,02734375	26603,013671875	30913,423828125	49292,51171875	23951,921875	37616,51171875	19726,53515625	8961,3984375	13949,6357421875	16815,943359375	11761,328125	7837,64892578125	19326,732421875	19879,001953125	21443,806640625	24861,828125	18900,9296875	24841,6015625
A3QJZ6;Q5VWM3	PRAMEF22;PRAMEF18	Homo sapiens	PRAME family member 22;PRAME family member 18	PRA22_HUMAN;PRA18_HUMAN	1	1	1	True	50665,6484375	60628,04296875	7311,5205078125	NaN	NaN	NaN	66786,375	66732,5546875	58496,6875	150384,609375	73663,53125	141442,140625	328,6582946777344	661,7451782226562	970,3615112304688	NaN	NaN	NaN	1299,8377685546875	892,7344970703125	503,8245849609375	2151,408203125	2652,8564453125	2719,125732421875
A4D1E9	GTPBP10	Homo sapiens	GTP-binding protein 10	GTPBA_HUMAN	10	10	10	False	132828,890625	85210,59375	88602,5078125	136175,40625	95220,1640625	105267,6015625	103575,4296875	58782,73046875	68843,125	136310	95307,421875	119135,9296875	4974,29052734375	4935,06689453125	3857,225341796875	4596,26171875	4603,294921875	4576,482421875	4637,33447265625	3808,96533203125	2862,621826171875	7437,43505859375	3861,99169921875	5044,41748046875
A4D1P6;A4D1P6-2	WDR91	Homo sapiens	WD repeat-containing protein 91;Isoform 2 of WD repeat-containing protein 91	WDR91_HUMAN	5	5	5	False	53758,37890625	70375,0390625	86298,53125	86465,25	71143,5078125	48243,49609375	48490,3046875	31061,52734375	46616,2890625	21778,32421875	24693,20703125	65635,75	10320,783203125	11790,060546875	11958,96484375	10176,43359375	11663,146484375	10785,8310546875	10031,2314453125	9928,0830078125	10526,8515625	9183,8291015625	9122,4814453125	11712,7041015625
A4D2B0	MBLAC1	Homo sapiens	Metallo-beta-lactamase domain-containing protein 1	MBLC1_HUMAN	2	2	2	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96014,5078125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2880,646240234375
A4UGR9;A4UGR9-2;A4UGR9-3;A4UGR9-8	XIRP2	Homo sapiens	Xin actin-binding repeat-containing protein 2;Isoform 2 of Xin actin-binding repeat-containing protein 2;Isoform 3 of Xin actin-binding repeat-containing protein 2;Isoform 8 of Xin actin-binding repeat-containing protein 2	XIRP2_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16623,09765625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	247,9291229248047	NaN	NaN
A5A3E0	POTEF	Homo sapiens	POTE ankyrin domain family member F	POTEF_HUMAN	6	10	11	False	141967,875	104898,4921875	122453,2890625	100809,1796875	101638,1171875	105475,09375	70248,5078125	18208,369140625	56213,2578125	39798,8046875	83,97432708740234	45571,625	301301,5	326606,53125	369869,1875	309425,125	283142,59375	275607,59375	224583,203125	239834,25	211728,53125	222482,46875	227141,921875	230876,28125
A5D8V6	VPS37C	Homo sapiens	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	3	3	3	True	193175,078125	115815,125	140540,09375	301952,3125	163815,359375	138509,09375	84721,359375	129826,2109375	99334,421875	85923,5	109681,1640625	102110,203125	37264,7421875	40843,96875	35813,953125	54395,42578125	86517,2734375	75773,953125	52092,2265625	8277,6787109375	35924,234375	32524,591796875	44289,328125	22450,20703125
A5D8V7;A5D8V7-2	ODAD3	Homo sapiens	Outer dynein arm-docking complex subunit 3;Isoform 2 of Outer dynein arm-docking complex subunit 3	ODAD3_HUMAN	2	2	2	True	4319054,5	5838901,5	NaN	3721079,75	4194802	NaN	NaN	2892595,25	2245183,75	2592539	2607607,25	2677550,5	171553,875	141468,546875	NaN	213715,390625	170225,109375	NaN	NaN	105155,078125	135528,234375	118080,96875	128019,46875	166893,578125
A5PLL7;A5PLL7-2	PEDS1	Homo sapiens	Plasmanylethanolamine desaturase;Isoform 2 of Plasmanylethanolamine desaturase	PDES1_HUMAN	3	3	3	False	21281,83984375	NaN	10578,205078125	49989,1484375	11377,38671875	17118,65625	27441,701171875	26617,689453125	19725,173828125	45953,60546875	9053,2255859375	14542,4736328125	1456,5816650390625	NaN	2643,611328125	3710,143798828125	2203,2509765625	2381,450927734375	2161,1474609375	1857,6949462890625	1513,6881103515625	5330,5166015625	915,9467163085938	1252,88671875
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5	TRAPPC13	Homo sapiens	Trafficking protein particle complex subunit 13;Isoform 2 of Trafficking protein particle complex subunit 13;Isoform 3 of Trafficking protein particle complex subunit 13;Isoform 4 of Trafficking protein particle complex subunit 13	TPC13_HUMAN	8	8	8	False	191637,8125	202580,9375	194501,703125	189888,609375	157063,28125	149983,65625	184389,46875	145745,875	156166,265625	162479,90625	140979,65625	162729,703125	27689,017578125	30875,564453125	28723,873046875	25834,859375	28313,009765625	25687,38671875	26072,169921875	24806,0234375	26804,720703125	29401,033203125	23313,6640625	25159,640625
A5YKK6	CNOT1	Homo sapiens	CCR4-NOT transcription complex subunit 1	CNOT1_HUMAN	54	54	57	False	203833,890625	208343,921875	217467,578125	206184,78125	200548,5	169847	199065,453125	153587,96875	200794,90625	254341,265625	123466,96875	223825,625	74072,234375	70796,1875	73794,3515625	74557,265625	69669,7890625	59619,6875	72833,65625	58286,22265625	74373,671875	92730,2578125	52989,82421875	83972,40625
A6BM72-3	MEGF11	Homo sapiens	Isoform 3 of Multiple epidermal growth factor-like domains protein 11	MEG11_HUMAN	1	1	1	True	668411,8125	723264,5	496523,1875	544636,375	580237,125	687615,0625	580780,875	1060836	559195,5625	612901,75	645086,1875	596602,375	22294,19140625	19076,541015625	14846,9931640625	20300,66015625	21249,099609375	20024,9453125	13615,857421875	17375,08203125	14317,1650390625	10691,654296875	14843,1396484375	12900,330078125
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	MP3B2_HUMAN;MLP3B_HUMAN	2	3	4	True	283268,625	247272,78125	260022,59375	183528,078125	148359,9375	190483,765625	201893,5625	172985,25	228051,4375	176682,53125	227647,28125	163912,28125	63463,87109375	68148,25	62302,3515625	42185,26171875	36286,18359375	44058,546875	37742,55859375	40345,828125	54943,3046875	39376,3125	33617,31640625	37375,68359375
A6NCV1	OR6C74	Homo sapiens	Olfactory receptor 6C74	O6C74_HUMAN	1	1	1	True	98067,9609375	266904,46875	142730,90625	107682,0234375	253392,484375	93366,65625	116469,3671875	125158,3984375	106221,5234375	12710,2294921875	85386,25	NaN	1945,68798828125	2063,978271484375	1334,271728515625	NaN	1086,7542724609375	475,0764465332031	666,3392333984375	859,3568725585938	582,670654296875	2216,04443359375	1,3625208139419556	NaN
A6ND36;A6ND36-2	FAM83G	Homo sapiens	Protein FAM83G;Isoform 2 of Protein FAM83G	FA83G_HUMAN	1	1	1	False	NaN	NaN	7316,5654296875	NaN	NaN	NaN	7585,6484375	NaN	NaN	17585,373046875	NaN	NaN	NaN	NaN	535,7166748046875	NaN	NaN	NaN	1119,84521484375	NaN	NaN	1141,350830078125	NaN	NaN
A6NDG6	PGP	Homo sapiens	Glycerol-3-phosphate phosphatase	PGP_HUMAN	16	16	17	False	488607,1875	424261,625	490926,8125	433057,125	436416,625	493861,53125	432071,375	315497	349667,5625	352214,15625	270560,90625	358684,15625	140427,6875	144121,96875	152842,203125	143236,65625	140174,765625	132296,640625	148237,203125	144183,625	143553,109375	113890,8046875	123233,46875	131822,03125
A6NDN3	GOLGA6B	Homo sapiens	Golgin subfamily A member 6B	GOG6B_HUMAN	1	1	1	False	51174,5859375	28426,14453125	NaN	NaN	NaN	NaN	NaN	NaN	15994,421875	30290,669921875	NaN	40347,4375	3493,084716796875	1598,1239013671875	NaN	NaN	NaN	NaN	NaN	NaN	1552,45947265625	3029,24755859375	NaN	2123,52880859375
A6NDU8	C5orf51	Homo sapiens	UPF0600 protein C5orf51	CE051_HUMAN	10	10	11	False	287136,25	298573,875	295771,90625	243145,109375	261704,515625	258328,5625	256779,296875	218648,0625	240290,78125	198220,328125	192144,828125	173867,15625	40874,67578125	35410,56640625	44147,18359375	41115,87109375	38389,234375	39744,24609375	37087,21875	39239,421875	41045,0625	31275,24609375	32811,71875	32521,388671875
