PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.MS1Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.MS1Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.MS1Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.MS1Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.MS1Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.MS1Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS1Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS1Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS1Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS1Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS1Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS1Quantity	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	MP3B2_HUMAN;MLP3B_HUMAN	1	1	2	True	36349,54296875	62849,6640625	34340,80078125	45318,8046875	45067,0625	29180,232421875	10504,0673828125	25196,697265625	49257,7734375	3739,532470703125	37717,6875	NaN	21933,056640625	13357,1416015625	32875,6796875	10937,2080078125	22132,046875	7533,576171875	270,00830078125	7978,24560546875	12817,2216796875	3542,70654296875	8920,5341796875	2830,49853515625
A6NCN2	KRT87P	Homo sapiens	Putative keratin-87 protein	KR87P_HUMAN	1	1	1	False	NaN	11030,427734375	688,3596801757812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A6NDG6	PGP	Homo sapiens	Glycerol-3-phosphate phosphatase	PGP_HUMAN	4	4	4	False	81164,640625	47953,79296875	56789,71484375	38332,70703125	58189,85546875	59486,42578125	47575,98828125	45824,7421875	45644,2578125	32915,86328125	26845,703125	50307,15234375	20684,44921875	15639,5380859375	18143,513671875	12641,9833984375	19685,814453125	19514,380859375	16420,298828125	12551,9892578125	21963,73046875	12937,978515625	15829,06640625	17576,388671875
A6NGH7	CCDC160	Homo sapiens	Coiled-coil domain-containing protein 160	CC160_HUMAN	1	1	1	True	253866,28125	407288,875	261183,671875	235326,71875	193211,640625	382058,53125	300229	250617,9375	144872,140625	368414,9375	267328,3125	560161,25	9948,423828125	21453,7734375	9635,841796875	14068,83984375	8025,59814453125	21017,857421875	12580,255859375	13106,9150390625	7913,29541015625	19024,6015625	15560,1083984375	33242,75
A6NHY2	ANKDD1B	Homo sapiens	Ankyrin repeat and death domain-containing protein 1B	AKD1B_HUMAN	1	1	1	False	73953,140625	62572,30078125	NaN	83218,7578125	81506,921875	32548,126953125	62483,23046875	NaN	101548,84375	57124,1484375	60131,10546875	129949,296875	1094,25390625	402,8410339355469	NaN	442,43658447265625	440,9859924316406	847,7738037109375	1814,483154296875	NaN	3234,83935546875	1156,9488525390625	619,5565795898438	2365,94873046875
A6NJZ7;A6NNM3;Q9UFD9	RIMBP3C;RIMBP3B;RIMBP3	Homo sapiens	RIMS-binding protein 3C;RIMS-binding protein 3B;RIMS-binding protein 3A	RIM3C_HUMAN;RIM3B_HUMAN;RIM3A_HUMAN	1	1	1	False	20417,2578125	43425,28515625	22984,923828125	47366,6328125	28721,666015625	41055,8515625	22467,7421875	31958,548828125	32919,640625	10791,7822265625	NaN	38617,6015625	NaN	NaN	NaN	NaN	NaN	0,9869914650917053	2,1588032245635986	NaN	NaN	1	NaN	1,229379415512085
A6NKT7;O14715;P49792;Q7Z3J3;Q99666	RGPD3;RGPD8;RANBP2;RGPD4;RGPD5	Homo sapiens	RanBP2-like and GRIP domain-containing protein 3;RANBP2-like and GRIP domain-containing protein 8;E3 SUMO-protein ligase RanBP2;RanBP2-like and GRIP domain-containing protein 4;RANBP2-like and GRIP domain-containing protein 5/6	RGPD3_HUMAN;RGPD8_HUMAN;RBP2_HUMAN;RGPD4_HUMAN;RGPD5_HUMAN	2	2	2	False	3833,5791015625	NaN	2869,48046875	NaN	7740,44970703125	2848,81494140625	NaN	NaN	NaN	NaN	NaN	NaN	1701,033203125	910,74755859375	331,9950256347656	134,01553344726562	NaN	596,9564819335938	NaN	NaN	NaN	NaN	NaN	NaN
A6NNM8;A6NNM8-2	TTLL13P	Homo sapiens	Tubulin polyglutamylase TTLL13P;Isoform 2 of Tubulin polyglutamylase TTLL13P	TTL13_HUMAN	1	1	1	False	82052,046875	147152,25	70328,1875	142033,34375	60029,90234375	105307,359375	79224,234375	156247,890625	17737,28125	107299,5234375	90426,4296875	39237,38671875	3754,074951171875	1198,468017578125	2674,9150390625	8596,6669921875	2638,26513671875	6541,0576171875	4243,19677734375	4704,8173828125	2323,2685546875	7555,052734375	4711,3828125	9701,01953125
A7E2V4;A7E2V4-2;A7E2V4-3;A7E2V4-4;A7E2V4-5	ZSWIM8	Homo sapiens	Zinc finger SWIM domain-containing protein 8;Isoform 2 of Zinc finger SWIM domain-containing protein 8;Isoform 3 of Zinc finger SWIM domain-containing protein 8;Isoform 4 of Zinc finger SWIM domain-containing protein 8;Isoform 5 of Zinc finger SWIM domain-containing protein 8	ZSWM8_HUMAN	1	1	1	False	NaN	1201,015625	NaN	NaN	2700,4345703125	NaN	NaN	4281,29541015625	2250,921630859375	NaN	1362,167236328125	NaN	NaN	2380,725830078125	761,0952758789062	NaN	675,843994140625	NaN	NaN	1225,0118408203125	205,32080078125	NaN	573,7514038085938	499,04327392578125
B1AKI9	ISM1	Homo sapiens	Isthmin-1	ISM1_HUMAN	1	1	1	False	7926,67919921875	NaN	8496,9365234375	3645,872314453125	NaN	NaN	NaN	4356,248046875	NaN	NaN	NaN	NaN	3354,59423828125	1463,115478515625	2811,048583984375	2598,97119140625	NaN	3101,960205078125	NaN	2200,095703125	1000,1649780273438	NaN	NaN	NaN
B5ME19;Q99613;Q99613-2	EIF3CL;EIF3C;EIF3C	Homo sapiens	Eukaryotic translation initiation factor 3 subunit C-like protein;Eukaryotic translation initiation factor 3 subunit C;Isoform 2 of Eukaryotic translation initiation factor 3 subunit C	EIFCL_HUMAN;EIF3C_HUMAN;EIF3C_HUMAN	9	9	9	False	65625,625	28360,734375	8694,2109375	38746,640625	13888,33984375	14200,712890625	31966,912109375	26371,634765625	7671,59912109375	29674,626953125	15888,2138671875	7197,92724609375	23653,4296875	9967,9052734375	4489,59130859375	14428,9853515625	5387,28955078125	4986,73486328125	12237,017578125	10426,044921875	3763,698486328125	10706,302734375	6508,2001953125	4512,7744140625
C4AMC7;Q6VEQ5	WASH3P;WASH2P	Homo sapiens	Putative WAS protein family homolog 3;WAS protein family homolog 2	WASH3_HUMAN;WASH2_HUMAN	2	2	2	False	8255,927734375	10099,623046875	12050,5419921875	3935,728759765625	11118,416015625	19055,25	15141,775390625	18819,87109375	NaN	15456,2548828125	NaN	18148,310546875	11617,9208984375	10120,314453125	10443,2548828125	10618,10546875	8432,513671875	12822,31640625	13241,345703125	9980,0576171875	10845,619140625	13122,201171875	9720,072265625	12975,2880859375
C9JLW8	MCRIP1	Homo sapiens	Mapk-regulated corepressor-interacting protein 1	MCRI1_HUMAN	2	2	2	False	34392,34375	NaN	9043,7646484375	10718,1123046875	17842,392578125	20763,419921875	21863,8671875	8484,8271484375	10286,17578125	1477,6505126953125	7258,2197265625	30878,826171875	11007,6796875	6752,099609375	10899,654296875	6836,37548828125	10532,3671875	9327,943359375	6211,9990234375	5328,76611328125	6859,6640625	3145,091064453125	4486,23388671875	5774,06396484375
E9PAV3;E9PAV3-2;Q13765	NACA	Homo sapiens	Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Isoform skNAC-2 of Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha	NACAM_HUMAN;NACAM_HUMAN;NACA_HUMAN	4	4	5	True	102582,0703125	82454,53125	46135,12890625	57963,015625	23662,16015625	34241,328125	47815,32421875	48934,1015625	14286,2919921875	41430,078125	10168,537109375	9811,650390625	15847,576171875	9505,119140625	8116,51708984375	11169,6171875	3963,64892578125	4326,32080078125	2639,192626953125	8178,7783203125	5018,31982421875	5349,6640625	3558,927001953125	2647,1318359375
F5H4B4;F5H4B4-2	FAM227A	Homo sapiens	Protein FAM227A;Isoform 2 of Protein FAM227A	F227A_HUMAN	1	1	1	False	35270,953125	40332,71484375	20986,64453125	21591,779296875	50563,65234375	64647,03515625	48173,296875	40167,97265625	5213,451171875	49683,69921875	41595,32421875	82989,3671875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
L0R819	ASDURF	Homo sapiens	ASNSD1 upstream open reading frame protein	ASURF_HUMAN	1	1	1	False	16105,4619140625	14801,2265625	NaN	NaN	17063,974609375	29302,673828125	28188,802734375	25206,767578125	25795,16796875	34788,078125	14702,8974609375	NaN	2564,268310546875	500,7026672363281	2441,562744140625	NaN	901,2700805664062	2287,544677734375	1065,914794921875	1127,445068359375	2069,0849609375	1600,786865234375	1897,920166015625	NaN
O00115;O00115-2	DNASE2	Homo sapiens	Deoxyribonuclease-2-alpha;Isoform 2 of Deoxyribonuclease-2-alpha	DNS2A_HUMAN	7	8	8	False	586714,5625	998359,125	986822	952809,1875	755669,3125	785035,6875	695507,5	1018289,5	874569,9375	682474	809214,25	982838,125	193599,953125	291922,375	291234	305828,59375	229536,1875	283157,5625	233981,109375	335020,3125	283253	221170,28125	291342,03125	300105,15625
O00148	DDX39A	Homo sapiens	ATP-dependent RNA helicase DDX39A	DX39A_HUMAN	1	1	1	False	1207,9505615234375	NaN	6243,48388671875	2076,96923828125	NaN	NaN	NaN	NaN	NaN	1686,5408935546875	NaN	NaN	4237,01806640625	2913,6259765625	2682,97314453125	2832,13916015625	NaN	NaN	NaN	NaN	NaN	515,50830078125	NaN	NaN
O00151	PDLIM1	Homo sapiens	PDZ and LIM domain protein 1	PDLI1_HUMAN	16	17	17	False	378211,1875	251950,234375	319076,53125	256950,75	413244,21875	310726,5625	381815,28125	183627,8125	421408,4375	300334,875	293768,78125	385485,96875	80444,4375	55620,92578125	68270,140625	60345,9609375	96584,859375	79123,578125	92457,703125	52432,0546875	103172,90625	89032,0703125	77744,1640625	94739,859375
O00154;O00154-4;O00154-6;O00154-7	ACOT7	Homo sapiens	Cytosolic acyl coenzyme A thioester hydrolase;Isoform 4 of Cytosolic acyl coenzyme A thioester hydrolase;Isoform 6 of Cytosolic acyl coenzyme A thioester hydrolase;Isoform 7 of Cytosolic acyl coenzyme A thioester hydrolase	BACH_HUMAN	10	10	10	False	53799,140625	65933,40625	39319,515625	39879,80859375	79664,03125	68507,515625	54216,234375	49791,52734375	94632,046875	49741,5625	66844,9375	48962,77734375	21552,62890625	19380,98046875	24694,140625	19150,662109375	26457,15234375	26074,13671875	21372,423828125	20899,13671875	29749,09375	20680,70703125	28886,478515625	21793,140625
O00159-2	MYO1C	Homo sapiens	Isoform 2 of Unconventional myosin-Ic	MYO1C_HUMAN	1	1	1	True	3970,645263671875	NaN	4627,666015625	NaN	4563,77001953125	NaN	11026,5791015625	5703,96142578125	6680,5234375	NaN	7395,01953125	7145,89599609375	2999,48046875	2377,198486328125	1786,5726318359375	1788,2664794921875	3068,14892578125	2673,261962890625	4878,2900390625	2789,4853515625	3083,947998046875	3584,145263671875	4453,7744140625	5566,2822265625
O00159-3	MYO1C	Homo sapiens	Isoform 3 of Unconventional myosin-Ic	MYO1C_HUMAN	15	15	15	False	52581,58203125	46908,2265625	37303,921875	48040,2734375	62623,8984375	45480,49609375	54132,8984375	49069,90625	50859,13671875	47741,8359375	62976,42578125	45092,625	17508,71484375	16083,609375	12312,0244140625	12281,962890625	18927,001953125	11538,048828125	16133,1142578125	16180,416015625	17401,78125	18284,705078125	25253,306640625	20601,626953125
O00161;O00161-2	SNAP23	Homo sapiens	Synaptosomal-associated protein 23;Isoform SNAP-23b of Synaptosomal-associated protein 23	SNP23_HUMAN	2	2	2	False	1,089389681816101	NaN	NaN	2,6041696071624756	NaN	NaN	NaN	NaN	NaN	NaN	0,7392090559005737	1	3330,233154296875	1025,6973876953125	3400,84375	1564,6201171875	1593,201416015625	NaN	2871,0244140625	NaN	2597,0947265625	2142,62841796875	1730,03271484375	941,1364135742188
O00170	AIP	Homo sapiens	AH receptor-interacting protein	AIP_HUMAN	5	5	5	False	84637,4765625	61410,046875	58127,4296875	45147,5546875	87007	100599,4140625	91496,2734375	52047,6953125	76078,734375	58066,71875	39773,96875	57620,5703125	28964,8828125	21231,361328125	23349,185546875	19318,908203125	26356,48046875	30015,87890625	16523,158203125	16786,30078125	23351,62109375	18963,763671875	18469,697265625	17664,1171875
O00186	STXBP3	Homo sapiens	Syntaxin-binding protein 3	STXB3_HUMAN	2	2	2	False	0,6924422383308411	NaN	1,0611296892166138	1	NaN	0,8767409920692444	NaN	NaN	NaN	1,168709635734558	5,5242438316345215	NaN	1758,5927734375	1903,999755859375	1672,3193359375	1430,4874267578125	2416,65234375	1620,2852783203125	1734,2745361328125	1820,5772705078125	1686,464111328125	1871,2823486328125	2964,94775390625	1635,3785400390625
O00187-2	MASP2	Homo sapiens	Isoform 2 of Mannan-binding lectin serine protease 2	MASP2_HUMAN	1	1	1	False	17407,130859375	6095,54296875	30086,310546875	7306,740234375	NaN	NaN	14082,677734375	6677,01220703125	18206,82421875	7457,04345703125	10423,1669921875	19833,67578125	2426,916259765625	2969,42138671875	3615,069091796875	5065,3935546875	2651,885009765625	2149,407470703125	5253,40087890625	3333,358154296875	3798,574951171875	4258,8642578125	2566,7841796875	7241,63525390625
O00203;O00203-3	AP3B1	Homo sapiens	AP-3 complex subunit beta-1;Isoform 2 of AP-3 complex subunit beta-1	AP3B1_HUMAN	3	3	3	False	71337,515625	37421,71484375	52602,8046875	37089,61328125	27002,033203125	5105,26611328125	26437,802734375	12324,9599609375	10684,455078125	17194,716796875	6190,6923828125	7521,66064453125	7142,58154296875	8957,8203125	6070,99755859375	6892,6376953125	8650,9443359375	4605,9990234375	5578,65673828125	6501,28369140625	7195,14990234375	8070,2197265625	9003,5517578125	6385,94482421875
O00231;O00231-2	PSMD11	Homo sapiens	26S proteasome non-ATPase regulatory subunit 11;Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11	PSD11_HUMAN	12	12	13	False	82110,8046875	63707,54296875	78150,09375	42991,1796875	100478,90625	56855,92578125	71671,03125	35214,875	58280,59375	54156,41015625	56776,53515625	45129,6640625	7931,42333984375	5820,556640625	5456,69580078125	4658,81640625	7667,16455078125	5272,14990234375	4458,556640625	4742,1416015625	4982,796875	4489,57666015625	6181,15478515625	5487,275390625
O00232;O00232-2	PSMD12	Homo sapiens	26S proteasome non-ATPase regulatory subunit 12;Isoform 2 of 26S proteasome non-ATPase regulatory subunit 12	PSD12_HUMAN	8	9	9	True	36426,70703125	27131,18359375	20403,873046875	17159,40625	41053,37109375	15505,6083984375	19513,80859375	20455,658203125	28015,603515625	14800,0927734375	23073,77734375	6874,05712890625	7655,6171875	7054,01904296875	6031,8046875	4669,23095703125	9938,09375	4708,09228515625	4610,76611328125	5180,88720703125	5967,45947265625	3832,49755859375	5208,0009765625	4438,2626953125
O00233	PSMD9	Homo sapiens	26S proteasome non-ATPase regulatory subunit 9	PSMD9_HUMAN	10	10	12	False	117034,765625	68204,7578125	106661,3828125	86975,5390625	95921,6015625	111501,7109375	108440,7421875	59985,30859375	110428,359375	83807,484375	83661,21875	78605,375	30113,06640625	21336,26171875	31692,6328125	21388,59765625	30078,609375	32201,09765625	25303	22039,333984375	27362,40625	22289,916015625	21716,671875	26215,287109375
O00244	ATOX1	Homo sapiens	Copper transport protein ATOX1	ATOX1_HUMAN	4	4	4	True	20734,4296875	22999,681640625	14081,5263671875	21497,2578125	25060,078125	10167,7451171875	37347,9765625	26397,67578125	12608,8193359375	10651,5771484375	15728,1962890625	5222,48388671875	6119,6240234375	5659,87060546875	5315,73388671875	4890,732421875	5401,4384765625	3762,39599609375	5525,2783203125	3522,406494140625	4644,52978515625	3581,12548828125	3672,761474609375	3261,365234375
O00264	PGRMC1	Homo sapiens	Membrane-associated progesterone receptor component 1	PGRC1_HUMAN	1	1	1	False	68171,359375	69328,2734375	29976,515625	110274,4296875	36343,83203125	31309,10546875	47493,8984375	79460,546875	18135,130859375	88423,453125	82774,1875	117898,9296875	21829,271484375	19004,66015625	12576,5263671875	33873,40625	10457,6650390625	19478,3203125	19617,69921875	23776,7265625	8717,42578125	26782,5	18079,806640625	7858,84375
O00291;O00291-4	HIP1	Homo sapiens	Huntingtin-interacting protein 1;Isoform 4 of Huntingtin-interacting protein 1	HIP1_HUMAN	22	22	22	False	88567,765625	62918,23828125	49957,2578125	69994,2421875	74451,71875	76482,921875	48868,59375	54551,625	32216,4609375	57489,37109375	43733,75390625	36337,99609375	25212,625	18903,68359375	18562,720703125	18443,736328125	20569,087890625	20721,541015625	18051,90234375	18109,57421875	9911,326171875	19242,484375	17963,5703125	13590,0302734375
O00299	CLIC1	Homo sapiens	Chloride intracellular channel protein 1	CLIC1_HUMAN	13	13	14	False	284858,8125	212454,640625	194163,65625	293879,21875	234063,78125	309620,75	241108,328125	299128,59375	119586,359375	314405,8125	242693,59375	154590,453125	106960,5	76858,609375	72648,4765625	106546,640625	81295,046875	118705,203125	92111,03125	102308,5859375	42494,5390625	120896,421875	86782,9921875	58815,16796875
O00300	TNFRSF11B	Homo sapiens	Tumor necrosis factor receptor superfamily member 11B	TR11B_HUMAN	11	11	12	True	97033,859375	170718,5	168919,078125	117213,78125	316006,65625	310840,4375	126456,4140625	224742,75	444471,5	270814,40625	328915,53125	416051,625	12511,7177734375	21265,0859375	27350,8671875	23507,068359375	39433,21875	42262,7109375	24776,294921875	29624,533203125	68600,140625	44105,6796875	52069,2734375	59877,890625
O00303	EIF3F	Homo sapiens	Eukaryotic translation initiation factor 3 subunit F	EIF3F_HUMAN	2	2	2	True	54345,81640625	26127,119140625	29054,111328125	29765,88671875	33962,23828125	23907,626953125	24966,76953125	22747,279296875	15208,75	28984,98046875	18122,056640625	19431,232421875	5526,2744140625	3046,477294921875	5166,95263671875	3507,895263671875	2704,014892578125	2130,80419921875	2116,630859375	2163,96240234375	1413,133056640625	2863,78515625	1576,224609375	2095,746826171875
O00339-2	MATN2	Homo sapiens	Isoform 2 of Matrilin-2	MATN2_HUMAN	10	10	10	False	48752,02734375	57167,4921875	31393,357421875	36104,91015625	51161,44921875	46010,12890625	46497,46484375	44877,96875	62023,2265625	49073,77734375	91463,3359375	51138,42578125	7788,3037109375	18999,4453125	16799,396484375	15347,6826171875	18351,177734375	15687,6669921875	20628,337890625	19495,265625	19128,73828125	20479,5078125	26965,208984375	24828,736328125
O00391	QSOX1	Homo sapiens	Sulfhydryl oxidase 1	QSOX1_HUMAN	28	29	33	False	941371,5625	2014427,25	1701216,75	1075547,5	1846680,375	919484,1875	1788830,75	1869190,5	2815948,25	1395087,375	2248185,75	2434144,75	192813,171875	400526,3125	348175,40625	233203,125	391490,3125	231882,375	343457,84375	344772,4375	541783,1875	287992,53125	428559,3125	498422,59375
