PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ADIPO_ASC_WT_WCL_WO_1.raw.PG.MS1Quantity	[2] ADIPO_ASC_WT_WCL_WO_2.raw.PG.MS1Quantity	[3] ADIPO_ASC_WT_WCL_WO_3.raw.PG.MS1Quantity	[4] ADIPO_ASC_WT_WCL_Light_1.raw.PG.MS1Quantity	[5] ADIPO_ASC_WT_WCL_Light_2.raw.PG.MS1Quantity	[6] ADIPO_ASC_WT_WCL_Light_3.raw.PG.MS1Quantity	[7] ADIPO_ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS1Quantity	[8] ADIPO_ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS1Quantity	[9] ADIPO_ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS1Quantity	[10] ADIPO_ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS1Quantity	[11] ADIPO_ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS1Quantity	[12] ADIPO_ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS1Quantity	[1] ADIPO_ASC_WT_WCL_WO_1.raw.PG.MS2Quantity	[2] ADIPO_ASC_WT_WCL_WO_2.raw.PG.MS2Quantity	[3] ADIPO_ASC_WT_WCL_WO_3.raw.PG.MS2Quantity	[4] ADIPO_ASC_WT_WCL_Light_1.raw.PG.MS2Quantity	[5] ADIPO_ASC_WT_WCL_Light_2.raw.PG.MS2Quantity	[6] ADIPO_ASC_WT_WCL_Light_3.raw.PG.MS2Quantity	[7] ADIPO_ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS2Quantity	[8] ADIPO_ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS2Quantity	[9] ADIPO_ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS2Quantity	[10] ADIPO_ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS2Quantity	[11] ADIPO_ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS2Quantity	[12] ADIPO_ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS2Quantity
A1A4S6	ARHGAP10	Homo sapiens	Rho GTPase-activating protein 10	RHG10_HUMAN	14	14	14	False	357466,46875	303161,9375	419033,28125	314524,375	303432,46875	317353,9375	342371,78125	273146,5625	331259,1875	250365,28125	364951,125	235134,34375	56846,16015625	60402,6015625	62172,82421875	54428,640625	53487,859375	56284,2890625	54754,90234375	56762,1640625	54796,7578125	50686,8671875	53255,97265625	51029,84375
A1KXE4	FAM168B	Homo sapiens	Myelin-associated neurite-outgrowth inhibitor	F168B_HUMAN	1	1	1	False	11556,5458984375	14611,0673828125	NaN	NaN	13980,3330078125	NaN	NaN	7954,771484375	NaN	34016,328125	NaN	12965,9111328125	3451,691650390625	5511,041015625	NaN	3470,700439453125	5709,8505859375	6044,60400390625	NaN	4846,78564453125	4813,0390625	2753,65185546875	4489,171875	4187,11767578125
A1L0T0	ILVBL	Homo sapiens	2-hydroxyacyl-CoA lyase 2	HACL2_HUMAN	18	18	19	False	1408439,75	1542645,75	1519173,125	1635815,875	1137202,625	1481093,25	1585041,5	1324518,375	1299143,375	1427027,625	1268622,125	1462601,75	239556,234375	248657,828125	259273,140625	265744,96875	206810,6875	239892,171875	251839,625	204541,796875	209736,46875	226482,421875	208583,6875	222618,90625
A1L188	NDUFAF8	Homo sapiens	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	NDUF8_HUMAN	1	1	1	False	254068,5625	206897,953125	185209,1875	183225,609375	169408,359375	132524,640625	195187,265625	222419,359375	205855,421875	175719,5	205161,109375	188603,921875	69452,703125	76688,359375	59061,63671875	64823,3203125	59893,65625	59612,28125	62609,25	63617,16015625	60488,984375	57515,6796875	53098,2578125	58455,53515625
A1L4H1;A1L4H1-2	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D;Isoform 2 of Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	1	1	1	True	56735,46484375	27018,072265625	149283,171875	52831,88671875	70893,046875	118615,640625	38926,8671875	NaN	69045,0625	62791,5234375	44756,0859375	46597,4296875	7095,232421875	2318,20458984375	6013,802734375	7256,73291015625	4536,669921875	6658,09130859375	4857,1435546875	NaN	3873,1337890625	2068,8125	2283,54541015625	4672,42138671875
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	37	37	41	False	539458,4375	473306,875	523670,71875	628832,125	597807,6875	526094,625	553478,125	537434,75	393615,4375	556025,6875	526729,9375	530085,5625	198512,625	180272,625	182947,109375	205289,453125	199323,90625	188409,875	179677,171875	184804,734375	136941,046875	204159,75	183107,25	181333,75
A1XBS5;A1XBS5-2	FAM92A	Homo sapiens	Protein FAM92A;Isoform 2 of Protein FAM92A	FA92A_HUMAN	3	3	3	False	NaN	0,7767124772071838	NaN	NaN	1	NaN	NaN	0,23679441213607788	NaN	1,5615037679672241	NaN	1,6257350444793701	11620,6796875	9235,603515625	8838,837890625	10026,486328125	7151,94921875	NaN	10322,3974609375	9779,9365234375	11129,4716796875	7717,203125	NaN	8179,1748046875
A2RRD8	ZNF320	Homo sapiens	Zinc finger protein 320	ZN320_HUMAN	5	5	5	False	52495,33203125	60543,375	65104,8359375	38750,16796875	44173,5859375	63613,92578125	46653,28515625	61665,66015625	33026,46875	36855,265625	36992,56640625	52561,72265625	20041,404296875	20565,322265625	23113,31640625	18555,078125	18172,05078125	17773,083984375	16937,783203125	15940,7197265625	12731,5869140625	16685,607421875	16040,228515625	15754,771484375
A2RRP1	NBAS	Homo sapiens	Neuroblastoma-amplified sequence	NBAS_HUMAN	52	55	59	False	282425,8125	255556,140625	257585,5625	295404,8125	236357,953125	272992,6875	286336,625	254867,59375	273142,4375	257309,90625	242307,15625	253241,921875	476339,40625	479937,875	481122,21875	482471,71875	447058,9375	462204,53125	470999,09375	436571,28125	489305,59375	434318,5	404798,65625	426471,78125
A2RTX5;A2RTX5-2	TARS3	Homo sapiens	Threonine--tRNA ligase 2, cytoplasmic;Isoform 2 of Threonine--tRNA ligase 2, cytoplasmic	SYTC2_HUMAN	5	5	5	False	41717,26171875	23922,845703125	39252,4375	43342,9921875	44660,6875	50848,37890625	41469,63671875	31843,224609375	29881,140625	27951,484375	52397,23046875	19599,369140625	1929,572265625	1123,6103515625	2024,005126953125	955,6384887695312	1712,677978515625	1700,4771728515625	1418,5155029296875	2182,470947265625	885,7293090820312	1353,864990234375	1160,3487548828125	974,1611938476562
A2RU67	FAM234B	Homo sapiens	Protein FAM234B	F234B_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7139,13720703125	NaN	NaN	21951,4765625	NaN	NaN	NaN	NaN	NaN	8100,57470703125	NaN	NaN	7625,1865234375	NaN	NaN	10876,8125
A2RUC4	TYW5	Homo sapiens	tRNA wybutosine-synthesizing protein 5	TYW5_HUMAN	2	2	2	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18464,712890625	NaN	112007,7890625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN
A2RUS2	DENND3	Homo sapiens	DENN domain-containing protein 3	DEND3_HUMAN	15	15	15	True	61143,26953125	60284,95703125	58966,3203125	45133,4765625	65435,375	42887,984375	57149,0078125	56737,34765625	46432,44140625	40035,3046875	44557,96875	18747,2421875	16346,9130859375	19170,205078125	16746,0390625	11675,5126953125	15297,537109375	8917,6123046875	16597,65234375	14517,4873046875	13761,578125	8134,45458984375	12624,0859375	5012,33349609375
A2VDJ0;A2VDJ0-2;A2VDJ0-3;A2VDJ0-5;A2VDJ0-6	TMEM131L	Homo sapiens	Transmembrane protein 131-like;Isoform 2 of Transmembrane protein 131-like;Isoform 3 of Transmembrane protein 131-like;Isoform 4 of Transmembrane protein 131-like;Isoform 5 of Transmembrane protein 131-like	T131L_HUMAN	1	1	1	False	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5167,68994140625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2556,944580078125
A3KMH1;A3KMH1-3	VWA8	Homo sapiens	von Willebrand factor A domain-containing protein 8;Isoform 3 of von Willebrand factor A domain-containing protein 8	VWA8_HUMAN	42	42	43	False	130167,2578125	142324,265625	151471,78125	121026,7265625	118790,453125	124818,5234375	160870,953125	128277,3828125	153492,625	130173	114529,6875	113784,53125	74660,546875	75860,828125	73021,5625	70237,96875	65106,3671875	74027,0546875	82113,4609375	67891,4453125	75738,4609375	64166,17578125	69148,953125	64216,6640625
A3KN83;A3KN83-2;A3KN83-3	SBNO1	Homo sapiens	Protein strawberry notch homolog 1;Isoform 2 of Protein strawberry notch homolog 1;Isoform 3 of Protein strawberry notch homolog 1	SBNO1_HUMAN	3	3	3	False	20386,4140625	40314,85546875	14466,1533203125	19680,244140625	17593,05859375	26849,58203125	59488,4375	13942,6318359375	34716,9140625	23514,8984375	30338,578125	5928,12451171875	9901,9794921875	7483,3642578125	12386,2958984375	13592,859375	8753,576171875	10008,0439453125	9253,248046875	7022,515625	922,5969848632812	9221,720703125	3755,425537109375	2434,0009765625
A4D1E9	GTPBP10	Homo sapiens	GTP-binding protein 10	GTPBA_HUMAN	8	8	8	True	76918,7578125	77952,90625	62002,91796875	33645,1328125	56356,01953125	38065,60546875	50990,37890625	63062,796875	42996,73046875	29650,62890625	69429,8125	28113,064453125	12595,740234375	11074,978515625	14374,3828125	9241,58984375	9353,7255859375	9964,4248046875	11969,4541015625	9768,2158203125	11186,1142578125	6824,6630859375	10369,56640625	7750,7568359375
A4D1P6;A4D1P6-2	WDR91	Homo sapiens	WD repeat-containing protein 91;Isoform 2 of WD repeat-containing protein 91	WDR91_HUMAN	11	11	12	False	124348,0390625	158025,609375	115705,5234375	92397,4609375	123147,3046875	134211,140625	133986,8125	102413,015625	102757,6953125	112242,71875	117476,703125	99218,21875	46705,18359375	48036,10546875	48716,6796875	42805,89453125	53574,5703125	37955,46875	54439,2578125	47133,09765625	44379,16796875	42442,2421875	47139,20703125	36922,3359375
A4D2H0;P0CG41;Q86UF2;Q8IX94	CTAGE15;CTAGE8;CTAGE6;CTAGE4	Homo sapiens	cTAGE family member 15;cTAGE family member 8;cTAGE family member 6;cTAGE family member 4	CTGEF_HUMAN;CTGE8_HUMAN;CTGE6_HUMAN;CTGE4_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	374260,8125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30566,126953125	NaN	NaN
A5D8V6	VPS37C	Homo sapiens	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	1	1	1	False	199825,96875	65204,62890625	198653,609375	103513,7265625	145311,25	102494,8671875	115877,4453125	182505,484375	155346,59375	167776,8125	159148,34375	260285,515625	44792,2578125	38092,6328125	46162,45703125	37794,2265625	52986,671875	46927,1015625	49499,9140625	57301,16796875	46985,92578125	50809,359375	50236,6484375	51311,53125
A5PLL7;A5PLL7-2	PEDS1	Homo sapiens	Plasmanylethanolamine desaturase;Isoform 2 of Plasmanylethanolamine desaturase	PDES1_HUMAN	3	3	4	False	101052,6328125	147628,203125	144980,078125	94887,25	127898,9296875	53819,27734375	92041,8984375	94175,4765625	97855,90625	38929,03125	111993,5234375	57165,19921875	10345,62109375	13439,7021484375	13316,763671875	8210,4951171875	10427,78515625	6591,69921875	9145,365234375	12977,716796875	12666,80859375	6538,3974609375	12092,4921875	7099,4580078125
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5	TRAPPC13	Homo sapiens	Trafficking protein particle complex subunit 13;Isoform 2 of Trafficking protein particle complex subunit 13;Isoform 3 of Trafficking protein particle complex subunit 13;Isoform 4 of Trafficking protein particle complex subunit 13	TPC13_HUMAN	8	8	8	False	368163,71875	342245,0625	422591,5	297101,09375	282030,09375	293228,9375	300185,59375	374718,46875	320454,59375	279729,03125	314001,3125	329985,46875	38298,9609375	37754,16015625	34174,140625	35546,83203125	36781,8203125	36096,4296875	37049,3828125	35974,96484375	36422,984375	34541,8359375	41759,6484375	31867,15625
A5YKK6	CNOT1	Homo sapiens	CCR4-NOT transcription complex subunit 1	CNOT1_HUMAN	43	43	47	False	383692,5	343254,46875	421156,25	389251,375	415943,1875	378747,8125	390318,65625	410816,40625	359179,5	417670,46875	469311,90625	409494,90625	202491,0625	205027,328125	206438,265625	204880,125	201674,34375	207447,734375	180733,859375	210117,3125	209197,15625	206980,125	215686,140625	203004,890625
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	MP3B2_HUMAN;MLP3B_HUMAN	2	2	3	True	326928	331260,34375	480369,875	648482,5	374788,40625	578853,25	302562,5625	361372	306578,3125	635931,125	299811,875	654703,875	68660,7890625	52146,55078125	71579,2734375	99505,5078125	53346,65625	99845,9296875	59764,73046875	56626,2421875	55584,04296875	106209,21875	59552,453125	116682,03125
A6NDG6	PGP	Homo sapiens	Glycerol-3-phosphate phosphatase	PGP_HUMAN	10	10	11	False	1618809,25	1358295	1400153	1433686,875	1780451,125	1746639,875	1837781,125	1449176,125	1486473,875	1636630,5	1645904,25	1621666,25	133061,796875	151694,84375	134010,5625	127372,40625	142754,390625	123188,2734375	125233,7890625	129918,8828125	127164,4296875	132075,890625	137471,171875	123792,078125
A6NDN3	GOLGA6B	Homo sapiens	Golgin subfamily A member 6B	GOG6B_HUMAN	1	1	1	False	91014,359375	14885,6064453125	100915,546875	84610,5546875	33051,82421875	41841,0625	81907,34375	48849,453125	23196,099609375	65214,9375	52757,03125	38670,10546875	6224,5869140625	1399,5523681640625	6716,94384765625	6651,9228515625	2858,720703125	4348,03564453125	6790,5380859375	3985,354736328125	2023,5687255859375	4102,8408203125	3258,03662109375	1736,791748046875
A6NDU8	C5orf51	Homo sapiens	UPF0600 protein C5orf51	CE051_HUMAN	12	12	13	False	294878,65625	279286,71875	293317,5	300368,09375	241109,015625	255922,546875	290247,84375	381280,40625	288429,28125	412593,9375	344514,40625	346880,59375	58971,66796875	58057,859375	64755,35546875	70466,234375	64636,5234375	69017,671875	72791,3359375	73891,890625	64022,0859375	85783,4609375	83332,6796875	72683,203125
A6NED2	RCCD1	Homo sapiens	RCC1 domain-containing protein 1	RCCD1_HUMAN	1	1	1	False	23234,037109375	15869,26953125	17869,236328125	11613,447265625	7340,3115234375	19553,9453125	9642,5625	23249,837890625	39349,96875	15839,095703125	27520,7109375	NaN	12388,2802734375	13799,095703125	12462,7783203125	12134,431640625	12443,0498046875	10531,71484375	12065,6181640625	12197,85546875	12901,51171875	13070,8330078125	12963,96875	9924,7021484375
A6NEE1	PLEKHD1	Homo sapiens	Pleckstrin homology domain-containing family D member 1	PLHD1_HUMAN	1	1	1	False	NaN	6786,42822265625	NaN	NaN	8330,5751953125	3587,127685546875	NaN	5353,765625	8580,1884765625	NaN	9345,7265625	14663,82421875	NaN	1480,6788330078125	NaN	NaN	3321,513427734375	2281,9521484375	NaN	2303,242431640625	2326,601318359375	NaN	2452,697265625	1264,316650390625
A6NFI3	ZNF316	Homo sapiens	Zinc finger protein 316	ZN316_HUMAN	1	1	1	False	17798,2109375	3428,234375	4951,6943359375	7979,67041015625	8988,306640625	6884,5400390625	NaN	2745,56787109375	NaN	17910,251953125	6597,939453125	6217,73046875	1399,498779296875	1442,864990234375	1580,259033203125	2093,282958984375	1315,484130859375	2299,377197265625	NaN	1259,6748046875	593,3614501953125	1803,531005859375	1377,6669921875	1467,779052734375
A6NFQ2;A6NFQ2-2;A6NFQ2-3	TCAF2	Homo sapiens	TRPM8 channel-associated factor 2;Isoform 2 of TRPM8 channel-associated factor 2;Isoform 3 of TRPM8 channel-associated factor 2	TCAF2_HUMAN	3	3	3	False	NaN	NaN	15781,427734375	NaN	NaN	NaN	21083,0546875	8486,6376953125	13632,435546875	10532,66015625	24732,91796875	10416,4921875	9063,73046875	6515,34619140625	8823,443359375	8012,5234375	6051,35107421875	NaN	7206,05859375	12066,2998046875	11667,9970703125	8807,388671875	13303,9892578125	11927,3330078125
A6NFY7	SDHAF1	Homo sapiens	Succinate dehydrogenase assembly factor 1, mitochondrial	SDHF1_HUMAN	1	1	1	False	120428,9609375	86038,4375	27457,140625	76854,5	82960,6953125	65449,62109375	129837,375	87068,890625	55762,62109375	84510,9375	75438,5625	69903,015625	17031,58203125	21669,365234375	14781,96875	14057,822265625	18137,939453125	21780,712890625	25617,380859375	25951,380859375	25758,578125	21409,505859375	21932,265625	28800,025390625
A6NGJ6;A6NI03;A6NLI5	TRIM64;TRIM64B;TRIM64C	Homo sapiens	Tripartite motif-containing protein 64;Putative tripartite motif-containing protein 64B;Tripartite motif-containing protein 64C	TRI64_HUMAN;TR64B_HUMAN;TR64C_HUMAN	1	1	1	False	NaN	319108,8125	82719,7109375	189810,796875	285600,78125	139239,9375	NaN	NaN	NaN	178707,078125	289529,34375	56461,734375	NaN	NaN	1	1,1754077672958374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0,9678742289543152
A6NHQ2	FBLL1	Homo sapiens	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	FBLL1_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	431188,71875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	302,8028564453125	NaN
A6NHR9	SMCHD1	Homo sapiens	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMHD1_HUMAN	25	25	27	False	115127,1640625	106313,75	105863,03125	117221,25	111396,3046875	132062,609375	105097,921875	100328,703125	106604,6953125	116250,5390625	117080,0546875	94779,359375	39878,97265625	40835,41796875	40634,2109375	37988,9609375	38200,15625	39938,06640625	35264,9453125	35285,45703125	38144,1171875	38730,65234375	38776,77734375	35232,63671875
A6NHX0	CASTOR2	Homo sapiens	Cytosolic arginine sensor for mTORC1 subunit 2	CAST2_HUMAN	2	2	2	True	59360,28515625	78486,7734375	61347,25	74572,140625	69850,046875	77469,6015625	50817,82421875	83890,265625	112430,6015625	64931,33203125	65116,82421875	68799,75	52617,9921875	81690,046875	70074,2421875	71031,7890625	63201,1171875	70811,640625	45712,29296875	40228,28515625	47943,828125	14356,6416015625	29394,921875	56193,76953125
A6NI28	ARHGAP42	Homo sapiens	Rho GTPase-activating protein 42	RHG42_HUMAN	1	1	1	False	46011,375	50448,45703125	32678,703125	24953,275390625	18029,521484375	NaN	39216,5625	35352,72265625	33283,76953125	34443,66796875	25611,48046875	38409,9453125	8127,20947265625	6749,59033203125	7626,88330078125	9289,1474609375	6633,6455078125	9934,1318359375	7053,77197265625	4589,19140625	7331,68017578125	7411,0322265625	5833,93115234375	8907,6708984375
A6NI72;A8MVU1;P14598	NCF1B;NCF1C;NCF1	Homo sapiens	Putative neutrophil cytosol factor 1B;Putative neutrophil cytosol factor 1C;Neutrophil cytosol factor 1	NCF1B_HUMAN;NCF1C_HUMAN;NCF1_HUMAN	1	1	1	False	NaN	NaN	133891,640625	196873,40625	NaN	46884,81640625	161996,8125	60283,18359375	NaN	NaN	90116,5625	NaN	NaN	NaN	3198,573486328125	7576,5712890625	NaN	2220,014404296875	4977,779296875	623,1511840820312	NaN	NaN	9686,548828125	NaN
A6NI79	CCDC69	Homo sapiens	Coiled-coil domain-containing protein 69	CCD69_HUMAN	5	5	5	False	16008,2373046875	18218,24609375	23777,86328125	33342,53515625	13721,2392578125	10590,0703125	26589,54296875	15882,1474609375	NaN	10714,5458984375	16996,298828125	NaN	8005,86865234375	6472,65283203125	4339,88525390625	7061,7470703125	6160,80078125	4358,6171875	7054,86181640625	6177,2431640625	NaN	5629,544921875	5819,3916015625	2983,83740234375
